#FIXME: nie ma form deprecjacyjnych
ABB - +A(subst:$n:$c:$g)	ABBA(subst:$n:$c:$g)
NO - +T(subst:$n:$c:$g)	NOT(subst:$n:$c:$g)
OI - +T(subst:$n:$c:$g)	OIT(subst:$n:$c:$g)
PA - +T(subst:$n:$c:$g)	PAT(subst:$n:$c:$g)
PAGAR - +T(subst:$n:$c:$g)	PAGART(subst:$n:$c:$g)
PI - +T(subst:$n:$c:$g)	PIT(subst:$n:$c:$g)
VA - +T(subst:$n:$c:$g)	VAT(subst:$n:$c:$g)
WA - +T(subst:$n:$c:$g)	WAT(subst:$n:$c:$g)
ZSZ - +et(subst:$n:$c:$g)	ZSZ(subst:$n:$c:$g)
ZWZ - +et(subst:$n:$c:$g)	ZWZ(subst:$n:$c:$g)
ZZ - +et(subst:$n:$c:$g)	ZZ(subst:$n:$c:$g)
WBZ - +et(subst:$n:$c:$g)	WBZ(subst:$n:$c:$g)
UZ - +et(subst:$n:$c:$g)	UZ(subst:$n:$c:$g)
URz - +et(subst:$n:$c:$g)	URz(subst:$n:$c:$g)
UNZ - +et(subst:$n:$c:$g)	UNZ(subst:$n:$c:$g)
OPZZ - +et(subst:$n:$c:$g)	OPZZ(subst:$n:$c:$g)
ONZ - +et(subst:$n:$c:$g)	ONZ(subst:$n:$c:$g)
NSZ - +et(subst:$n:$c:$g)	NSZ(subst:$n:$c:$g)
MZ - +et(subst:$n:$c:$g)	MZ(subst:$n:$c:$g)
MWGzZ - +et(subst:$n:$c:$g)	MWGzZ(subst:$n:$c:$g)
MSZ - +et(subst:$n:$c:$g)	MSZ(subst:$n:$c:$g)
HDZ - +et(subst:$n:$c:$g)	HDZ(subst:$n:$c:$g)
FPŻ - +et(subst:$n:$c:$g)	FPŻ(subst:$n:$c:$g)
CRZZ - +et(subst:$n:$c:$g)	CRZZ(subst:$n:$c:$g)
BZ - +et(subst:$n:$c:$g)	BZ(subst:$n:$c:$g)
BWZ - +et(subst:$n:$c:$g)	BWZ(subst:$n:$c:$g)
BGŻ - +et(subst:$n:$c:$g)	BGŻ(subst:$n:$c:$g)
UJ - +ot(subst:$n:$c:$g)	UJ(subst:$n:$c:$g)
TKJ - +ot(subst:$n:$c:$g)	TKJ(subst:$n:$c:$g)
PTJ - +ot(subst:$n:$c:$g)	PTJ(subst:$n:$c:$g)
ICJ - +ot(subst:$n:$c:$g)	ICJ(subst:$n:$c:$g)
BJ - +ot(subst:$n:$c:$g)	BJ(subst:$n:$c:$g)
ABS - +ε(subst:$n:$c:$g)	ABS(subst:$n:$c:$g)
ADM - +ε(subst:$n:$c:$g)	ADM(subst:$n:$c:$g)
ADN - +ε(subst:$n:$c:$g)	ADN(subst:$n:$c:$g)
AF - +ε(subst:$n:$c:$g)	AF(subst:$n:$c:$g)
AIDS - +ε(subst:$n:$c:$g)	AIDS(subst:$n:$c:$g)
AIDS - +ε(subst:$n:$c:$g)	AIDS(subst:$n:$c:$g)
AIF - +ε(subst:$n:$c:$g)	AIF(subst:$n:$c:$g)
AL - +ε(subst:$n:$c:$g)	AL(subst:$n:$c:$g)
AM - +ε(subst:$n:$c:$g)	AM(subst:$n:$c:$g)
AMERBANK - +ε(subst:$n:$c:$g)	AMERBANK(subst:$n:$c:$g)
AON - +ε(subst:$n:$c:$g)	AON(subst:$n:$c:$g)
APS - +ε(subst:$n:$c:$g)	APS(subst:$n:$c:$g)
AR - +ε(subst:$n:$c:$g)	AR(subst:$n:$c:$g)
ARiMR - +ε(subst:$n:$c:$g)	ARiMR(subst:$n:$c:$g)
ASEAN - +ε(subst:$n:$c:$g)	ASEAN(subst:$n:$c:$g)
ASR - +ε(subst:$n:$c:$g)	ASR(subst:$n:$c:$g)
AWF - +ε(subst:$n:$c:$g)	AWF(subst:$n:$c:$g)
AWS - +ε(subst:$n:$c:$g)	AWS(subst:$n:$c:$g)
AZS - +ε(subst:$n:$c:$g)	AZS(subst:$n:$c:$g)
BAAS - +ε(subst:$n:$c:$g)	BAAS(subst:$n:$c:$g)
BASF - +ε(subst:$n:$c:$g)	BASF(subst:$n:$c:$g)
BAV - +ε(subst:$n:$c:$g)	BAV(subst:$n:$c:$g)
BBWR - +ε(subst:$n:$c:$g)	BBWR(subst:$n:$c:$g)
BERD - +ε(subst:$n:$c:$g)	BERD(subst:$n:$c:$g)
BGŻ - +ε(subst:$n:$c:$g)	BGŻ(subst:$n:$c:$g)
BIG - +ε(subst:$n:$c:$g)	BIG(subst:$n:$c:$g)
BIOS - +ε(subst:$n:$c:$g)	BIOS(subst:$n:$c:$g)
BN - +ε(subst:$n:$c:$g)	BN(subst:$n:$c:$g)
BOR - +ε(subst:$n:$c:$g)	BOR(subst:$n:$c:$g)
BOS - +ε(subst:$n:$c:$g)	BOS(subst:$n:$c:$g)
BOŚ - +ε(subst:$n:$c:$g)	BOŚ(subst:$n:$c:$g)
BPS - +ε(subst:$n:$c:$g)	BPS(subst:$n:$c:$g)
BR - +ε(subst:$n:$c:$g)	BR(subst:$n:$c:$g)
BRBM - +ε(subst:$n:$c:$g)	BRBM(subst:$n:$c:$g)
BRR - +ε(subst:$n:$c:$g)	BRR(subst:$n:$c:$g)
BS - +ε(subst:$n:$c:$g)	BS(subst:$n:$c:$g)
BSR - +ε(subst:$n:$c:$g)	BSR(subst:$n:$c:$g)
BŚ - +ε(subst:$n:$c:$g)	BŚ(subst:$n:$c:$g)
BUW - +ε(subst:$n:$c:$g)	BUW(subst:$n:$c:$g)
BWZ - +ε(subst:$n:$c:$g)	BWZ(subst:$n:$c:$g)
BZ - +ε(subst:$n:$c:$g)	BZ(subst:$n:$c:$g)
CAD - +ε(subst:$n:$c:$g)	CAD(subst:$n:$c:$g)
CAF - +ε(subst:$n:$c:$g)	CAF(subst:$n:$c:$g)
CAM - +ε(subst:$n:$c:$g)	CAM(subst:$n:$c:$g)
CBOS - +ε(subst:$n:$c:$g)	CBOS(subst:$n:$c:$g)
CBS - +ε(subst:$n:$c:$g)	CBS(subst:$n:$c:$g)
CD - ROM - +ε(subst:$n:$c:$g)	CD-ROM(subst:$n:$c:$g)
ChRL - +ε(subst:$n:$c:$g)	ChRL(subst:$n:$c:$g)
CIT - +ε(subst:$n:$c:$g)	CIT(subst:$n:$c:$g)
ckm - +ε(subst:$n:$c:$g)	ckm(subst:$n:$c:$g)
CMYK - +ε(subst:$n:$c:$g)	CMYK(subst:$n:$c:$g)
CNN - +ε(subst:$n:$c:$g)	CNN(subst:$n:$c:$g)
COCOM - +ε(subst:$n:$c:$g)	COCOM(subst:$n:$c:$g)
CPN - +ε(subst:$n:$c:$g)	CPN(subst:$n:$c:$g)
CRZZ - +ε(subst:$n:$c:$g)	CRZZ(subst:$n:$c:$g)
CWKS - +ε(subst:$n:$c:$g)	CWKS(subst:$n:$c:$g)
DAB - +ε(subst:$n:$c:$g)	DAB(subst:$n:$c:$g)
DAT - +ε(subst:$n:$c:$g)	DAT(subst:$n:$c:$g)
DHL - +ε(subst:$n:$c:$g)	DHL(subst:$n:$c:$g)
DJ - +ε(subst:$n:$c:$g)	DJ(subst:$n:$c:$g)
DLS - +ε(subst:$n:$c:$g)	DLS(subst:$n:$c:$g)
DM - +ε(subst:$n:$c:$g)	DM(subst:$n:$c:$g)
DOS - +ε(subst:$n:$c:$g)	DOS(subst:$n:$c:$g)
DOS - +ε(subst:$n:$c:$g)	DOS(subst:$n:$c:$g)
DS - +ε(subst:$n:$c:$g)	DS(subst:$n:$c:$g)
DVD - ROM - +ε(subst:$n:$c:$g)	DVD-ROM(subst:$n:$c:$g)
EBOiR - +ε(subst:$n:$c:$g)	EBOiR(subst:$n:$c:$g)
EBOR - +ε(subst:$n:$c:$g)	EBOR(subst:$n:$c:$g)
EPROM - +ε(subst:$n:$c:$g)	EPROM(subst:$n:$c:$g)
ERM - +ε(subst:$n:$c:$g)	ERM(subst:$n:$c:$g)
ESOP - +ε(subst:$n:$c:$g)	ESOP(subst:$n:$c:$g)
EUROPOL - +ε(subst:$n:$c:$g)	EUROPOL(subst:$n:$c:$g)
FADOM - +ε(subst:$n:$c:$g)	FADOM(subst:$n:$c:$g)
FAS - +ε(subst:$n:$c:$g)	FAS(subst:$n:$c:$g)
FATAH - +ε(subst:$n:$c:$g)	FATAH(subst:$n:$c:$g)
FAT - +ε(subst:$n:$c:$g)	FAT(subst:$n:$c:$g)
FN - +ε(subst:$n:$c:$g)	FN(subst:$n:$c:$g)
FOZZ - +ε(subst:$n:$c:$g)	FOZZ(subst:$n:$c:$g)
FPŻ - +ε(subst:$n:$c:$g)	FPŻ(subst:$n:$c:$g)
FSM - +ε(subst:$n:$c:$g)	FSM(subst:$n:$c:$g)
GATT - +ε(subst:$n:$c:$g)	GATT(subst:$n:$c:$g)
GKS - +ε(subst:$n:$c:$g)	GKS(subst:$n:$c:$g)
GL - +ε(subst:$n:$c:$g)	GL(subst:$n:$c:$g)
GM - +ε(subst:$n:$c:$g)	GM(subst:$n:$c:$g)
GOPR - +ε(subst:$n:$c:$g)	GOPR(subst:$n:$c:$g)
GPRS - +ε(subst:$n:$c:$g)	GPRS(subst:$n:$c:$g)
GPS - +ε(subst:$n:$c:$g)	GPS(subst:$n:$c:$g)
GS - +ε(subst:$n:$c:$g)	GS(subst:$n:$c:$g)
GUC - +ε(subst:$n:$c:$g)	GUC(subst:$n:$c:$g)
GUS - +ε(subst:$n:$c:$g)	GUS(subst:$n:$c:$g)
HDL - +ε(subst:$n:$c:$g)	HDL(subst:$n:$c:$g)
HIV - +ε(subst:$n:$c:$g)	HIV(subst:$n:$c:$g)
HIV - +ε(subst:$n:$c:$g)	HIV(subst:$n:$c:$g)
HTML - +ε(subst:$n:$c:$g)	HTML(subst:$n:$c:$g)
HTML - +ε(subst:$n:$c:$g)	HTML(subst:$n:$c:$g)
IBL - +ε(subst:$n:$c:$g)	IBL(subst:$n:$c:$g)
IBM - +ε(subst:$n:$c:$g)	IBM(subst:$n:$c:$g)
IFOR - +ε(subst:$n:$c:$g)	IFOR(subst:$n:$c:$g)
IMiD - +ε(subst:$n:$c:$g)	IMiD(subst:$n:$c:$g)
IPN - +ε(subst:$n:$c:$g)	IPN(subst:$n:$c:$g)
ISBN - +ε(subst:$n:$c:$g)	ISBN(subst:$n:$c:$g)
ISDN - +ε(subst:$n:$c:$g)	ISDN(subst:$n:$c:$g)
ISSN - +ε(subst:$n:$c:$g)	ISSN(subst:$n:$c:$g)
ITAR - TASS - +ε(subst:$n:$c:$g)	ITAR-TASS(subst:$n:$c:$g)
KAI - +ε(subst:$n:$c:$g)	KAI(subst:$n:$c:$g)
KAL - +ε(subst:$n:$c:$g)	KAL(subst:$n:$c:$g)
KBN - +ε(subst:$n:$c:$g)	KBN(subst:$n:$c:$g)
KEN - +ε(subst:$n:$c:$g)	KEN(subst:$n:$c:$g)
KEP - +ε(subst:$n:$c:$g)	KEP(subst:$n:$c:$g)
KERM - +ε(subst:$n:$c:$g)	KERM(subst:$n:$c:$g)
KLM - +ε(subst:$n:$c:$g)	KLM(subst:$n:$c:$g)
KM - +ε(subst:$n:$c:$g)	KM(subst:$n:$c:$g)
KM - +ε(subst:$n:$c:$g)	KM(subst:$n:$c:$g)
KOR - +ε(subst:$n:$c:$g)	KOR(subst:$n:$c:$g)
KPN - +ε(subst:$n:$c:$g)	KPN(subst:$n:$c:$g)
KPZR - +ε(subst:$n:$c:$g)	KPZR(subst:$n:$c:$g)
KRN - +ε(subst:$n:$c:$g)	KRN(subst:$n:$c:$g)
KRRiT - +ε(subst:$n:$c:$g)	KRRiT(subst:$n:$c:$g)
KRS - +ε(subst:$n:$c:$g)	KRS(subst:$n:$c:$g)
KRUS - +ε(subst:$n:$c:$g)	KRUS(subst:$n:$c:$g)
KSAP - +ε(subst:$n:$c:$g)	KSAP(subst:$n:$c:$g)
KSERM - +ε(subst:$n:$c:$g)	KSERM(subst:$n:$c:$g)
KUL - +ε(subst:$n:$c:$g)	KUL(subst:$n:$c:$g)
LAN - +ε(subst:$n:$c:$g)	LAN(subst:$n:$c:$g)
LDL - +ε(subst:$n:$c:$g)	LDL(subst:$n:$c:$g)
lkm - +ε(subst:$n:$c:$g)	lkm(subst:$n:$c:$g)
LN - +ε(subst:$n:$c:$g)	LN(subst:$n:$c:$g)
LOK - +ε(subst:$n:$c:$g)	LOK(subst:$n:$c:$g)
LOP - +ε(subst:$n:$c:$g)	LOP(subst:$n:$c:$g)
LOT - +ε(subst:$n:$c:$g)	LOT(subst:$n:$c:$g)
LPR - +ε(subst:$n:$c:$g)	LPR(subst:$n:$c:$g)
LZS - +ε(subst:$n:$c:$g)	LZS(subst:$n:$c:$g)
ŁBR - +ε(subst:$n:$c:$g)	ŁBR(subst:$n:$c:$g)
ŁKS - +ε(subst:$n:$c:$g)	ŁKS(subst:$n:$c:$g)
MAL - +ε(subst:$n:$c:$g)	MAL(subst:$n:$c:$g)
MB - +ε(subst:$n:$c:$g)	MB(subst:$n:$c:$g)
MBOiR - +ε(subst:$n:$c:$g)	MBOiR(subst:$n:$c:$g)
MDM - +ε(subst:$n:$c:$g)	MDM(subst:$n:$c:$g)
MEN - +ε(subst:$n:$c:$g)	MEN(subst:$n:$c:$g)
MEP - +ε(subst:$n:$c:$g)	MEP(subst:$n:$c:$g)
MF - +ε(subst:$n:$c:$g)	MF(subst:$n:$c:$g)
MGM - +ε(subst:$n:$c:$g)	MGM(subst:$n:$c:$g)
MGM - +ε(subst:$n:$c:$g)	MGM(subst:$n:$c:$g)
MKiDN - +ε(subst:$n:$c:$g)	MKiDN(subst:$n:$c:$g)
MKOl - +ε(subst:$n:$c:$g)	MKOl(subst:$n:$c:$g)
MKS - +ε(subst:$n:$c:$g)	MKS(subst:$n:$c:$g)
MN - +ε(subst:$n:$c:$g)	MN(subst:$n:$c:$g)
MOK - +ε(subst:$n:$c:$g)	MOK(subst:$n:$c:$g)
MON - +ε(subst:$n:$c:$g)	MON(subst:$n:$c:$g)
MOP - +ε(subst:$n:$c:$g)	MOP(subst:$n:$c:$g)
MOSiR - +ε(subst:$n:$c:$g)	MOSiR(subst:$n:$c:$g)
MPiK - +ε(subst:$n:$c:$g)	MPiK(subst:$n:$c:$g)
MPiPS - +ε(subst:$n:$c:$g)	MPiPS(subst:$n:$c:$g)
MRR - +ε(subst:$n:$c:$g)	MRR(subst:$n:$c:$g)
MS - +ε(subst:$n:$c:$g)	MS(subst:$n:$c:$g)
MS - DOS - +ε(subst:$n:$c:$g)	MS-DOS(subst:$n:$c:$g)
MSZ - +ε(subst:$n:$c:$g)	MSZ(subst:$n:$c:$g)
MŚ - +ε(subst:$n:$c:$g)	MŚ(subst:$n:$c:$g)
MTS - +ε(subst:$n:$c:$g)	MTS(subst:$n:$c:$g)
MWGzZ - +ε(subst:$n:$c:$g)	MWGzZ(subst:$n:$c:$g)
NAP - +ε(subst:$n:$c:$g)	NAP(subst:$n:$c:$g)
NASK - +ε(subst:$n:$c:$g)	NASK(subst:$n:$c:$g)
NEC - +ε(subst:$n:$c:$g)	NEC(subst:$n:$c:$g)
NEP - +ε(subst:$n:$c:$g)	NEP(subst:$n:$c:$g)
NHL - +ε(subst:$n:$c:$g)	NHL(subst:$n:$c:$g)
NIK - +ε(subst:$n:$c:$g)	NIK(subst:$n:$c:$g)
NIP - +ε(subst:$n:$c:$g)	NIP(subst:$n:$c:$g)
NKOl - +ε(subst:$n:$c:$g)	NKOl(subst:$n:$c:$g)
NOT - +ε(subst:$n:$c:$g)	NOT(subst:$n:$c:$g)
NRF - +ε(subst:$n:$c:$g)	NRF(subst:$n:$c:$g)
NSZ - +ε(subst:$n:$c:$g)	NSZ(subst:$n:$c:$g)
NZS - +ε(subst:$n:$c:$g)	NZS(subst:$n:$c:$g)
OAPEC - +ε(subst:$n:$c:$g)	OAPEC(subst:$n:$c:$g)
OBOP - +ε(subst:$n:$c:$g)	OBOP(subst:$n:$c:$g)
OCR - +ε(subst:$n:$c:$g)	OCR(subst:$n:$c:$g)
OIT - +ε(subst:$n:$c:$g)	OIT(subst:$n:$c:$g)
ONR - +ε(subst:$n:$c:$g)	ONR(subst:$n:$c:$g)
OPEC - +ε(subst:$n:$c:$g)	OPEC(subst:$n:$c:$g)
OPZZ - +ε(subst:$n:$c:$g)	OPZZ(subst:$n:$c:$g)
ORWN - +ε(subst:$n:$c:$g)	ORWN(subst:$n:$c:$g)
OZN - +ε(subst:$n:$c:$g)	OZN(subst:$n:$c:$g)
PAGART - +ε(subst:$n:$c:$g)	PAGART(subst:$n:$c:$g)
PAH - +ε(subst:$n:$c:$g)	PAH(subst:$n:$c:$g)
PAI - +ε(subst:$n:$c:$g)	PAI(subst:$n:$c:$g)
PAL - +ε(subst:$n:$c:$g)	PAL(subst:$n:$c:$g)
PAM - +ε(subst:$n:$c:$g)	PAM(subst:$n:$c:$g)
PANAM - +ε(subst:$n:$c:$g)	PANAM(subst:$n:$c:$g)
PAN - +ε(subst:$n:$c:$g)	PAN(subst:$n:$c:$g)
PAP - +ε(subst:$n:$c:$g)	PAP(subst:$n:$c:$g)
PAT - +ε(subst:$n:$c:$g)	PAT(subst:$n:$c:$g)
PAX - +ε(subst:$n:$c:$g)	PAX(subst:$n:$c:$g)
PBKS - +ε(subst:$n:$c:$g)	PBKS(subst:$n:$c:$g)
PBR - +ε(subst:$n:$c:$g)	PBR(subst:$n:$c:$g)
PBS - +ε(subst:$n:$c:$g)	PBS(subst:$n:$c:$g)
PDS - +ε(subst:$n:$c:$g)	PDS(subst:$n:$c:$g)
PESEL - +ε(subst:$n:$c:$g)	PESEL(subst:$n:$c:$g)
PFRON - +ε(subst:$n:$c:$g)	PFRON(subst:$n:$c:$g)
PGM - +ε(subst:$n:$c:$g)	PGM(subst:$n:$c:$g)
PGR - +ε(subst:$n:$c:$g)	PGR(subst:$n:$c:$g)
PIH - +ε(subst:$n:$c:$g)	PIH(subst:$n:$c:$g)
PIN - +ε(subst:$n:$c:$g)	PIN(subst:$n:$c:$g)
PIP - +ε(subst:$n:$c:$g)	PIP(subst:$n:$c:$g)
PIP - +ε(subst:$n:$c:$g)	PIP(subst:$n:$c:$g)
PiS - +ε(subst:$n:$c:$g)	PiS(subst:$n:$c:$g)
PIT - +ε(subst:$n:$c:$g)	PIT(subst:$n:$c:$g)
PIT - +ε(subst:$n:$c:$g)	PIT(subst:$n:$c:$g)
PIW - +ε(subst:$n:$c:$g)	PIW(subst:$n:$c:$g)
PKF - +ε(subst:$n:$c:$g)	PKF(subst:$n:$c:$g)
PKiN - +ε(subst:$n:$c:$g)	PKiN(subst:$n:$c:$g)
PKOl - +ε(subst:$n:$c:$g)	PKOl(subst:$n:$c:$g)
PKS - +ε(subst:$n:$c:$g)	PKS(subst:$n:$c:$g)
PKWN - +ε(subst:$n:$c:$g)	PKWN(subst:$n:$c:$g)
PLL - +ε(subst:$n:$c:$g)	PLL(subst:$n:$c:$g)
PŁ - +ε(subst:$n:$c:$g)	PŁ(subst:$n:$c:$g)
PN - +ε(subst:$n:$c:$g)	PN(subst:$n:$c:$g)
PPL - +ε(subst:$n:$c:$g)	PPL(subst:$n:$c:$g)
PPR - +ε(subst:$n:$c:$g)	PPR(subst:$n:$c:$g)
PPS - +ε(subst:$n:$c:$g)	PPS(subst:$n:$c:$g)
PR - +ε(subst:$n:$c:$g)	PR(subst:$n:$c:$g)
PRL - +ε(subst:$n:$c:$g)	PRL(subst:$n:$c:$g)
PRON - +ε(subst:$n:$c:$g)	PRON(subst:$n:$c:$g)
PRS - +ε(subst:$n:$c:$g)	PRS(subst:$n:$c:$g)
PS - +ε(subst:$n:$c:$g)	PS(subst:$n:$c:$g)
PSL - +ε(subst:$n:$c:$g)	PSL(subst:$n:$c:$g)
PSS - +ε(subst:$n:$c:$g)	PSS(subst:$n:$c:$g)
PŚ - +ε(subst:$n:$c:$g)	PŚ(subst:$n:$c:$g)
PUR - +ε(subst:$n:$c:$g)	PUR(subst:$n:$c:$g)
PWN - +ε(subst:$n:$c:$g)	PWN(subst:$n:$c:$g)
PZPN - +ε(subst:$n:$c:$g)	PZPN(subst:$n:$c:$g)
PZPR - +ε(subst:$n:$c:$g)	PZPR(subst:$n:$c:$g)
PŻM - +ε(subst:$n:$c:$g)	PŻM(subst:$n:$c:$g)
RAF - +ε(subst:$n:$c:$g)	RAF(subst:$n:$c:$g)
RAI - +ε(subst:$n:$c:$g)	RAI(subst:$n:$c:$g)
RAM - +ε(subst:$n:$c:$g)	RAM(subst:$n:$c:$g)
RAS - +ε(subst:$n:$c:$g)	RAS(subst:$n:$c:$g)
RdR - +ε(subst:$n:$c:$g)	RdR(subst:$n:$c:$g)
REGON - +ε(subst:$n:$c:$g)	REGON(subst:$n:$c:$g)
REN - +ε(subst:$n:$c:$g)	REN(subst:$n:$c:$g)
RFN - +ε(subst:$n:$c:$g)	RFN(subst:$n:$c:$g)
RM - +ε(subst:$n:$c:$g)	RM(subst:$n:$c:$g)
RMF - +ε(subst:$n:$c:$g)	RMF(subst:$n:$c:$g)
RN - +ε(subst:$n:$c:$g)	RN(subst:$n:$c:$g)
RN - +ε(subst:$n:$c:$g)	RN(subst:$n:$c:$g)
ROM - +ε(subst:$n:$c:$g)	ROM(subst:$n:$c:$g)
ROP - +ε(subst:$n:$c:$g)	ROP(subst:$n:$c:$g)
ROR - +ε(subst:$n:$c:$g)	ROR(subst:$n:$c:$g)
RPN - +ε(subst:$n:$c:$g)	RPN(subst:$n:$c:$g)
RUM - +ε(subst:$n:$c:$g)	RUM(subst:$n:$c:$g)
RUP - +ε(subst:$n:$c:$g)	RUP(subst:$n:$c:$g)
SAAB - +ε(subst:$n:$c:$g)	SAAB(subst:$n:$c:$g)
SARS - +ε(subst:$n:$c:$g)	SARS(subst:$n:$c:$g)
SAS - +ε(subst:$n:$c:$g)	SAS(subst:$n:$c:$g)
SCMS - +ε(subst:$n:$c:$g)	SCMS(subst:$n:$c:$g)
scs - +ε(subst:$n:$c:$g)	scs(subst:$n:$c:$g)
SDKPiL - +ε(subst:$n:$c:$g)	SDKPiL(subst:$n:$c:$g)
SECAM - +ε(subst:$n:$c:$g)	SECAM(subst:$n:$c:$g)
SGML - +ε(subst:$n:$c:$g)	SGML(subst:$n:$c:$g)
SGML - +ε(subst:$n:$c:$g)	SGML(subst:$n:$c:$g)
SGPiS - +ε(subst:$n:$c:$g)	SGPiS(subst:$n:$c:$g)
SIM - +ε(subst:$n:$c:$g)	SIM(subst:$n:$c:$g)
SIMM - +ε(subst:$n:$c:$g)	SIMM(subst:$n:$c:$g)
SKOK - +ε(subst:$n:$c:$g)	SKOK(subst:$n:$c:$g)
SKS - +ε(subst:$n:$c:$g)	SKS(subst:$n:$c:$g)
SM - +ε(subst:$n:$c:$g)	SM(subst:$n:$c:$g)
sms - +ε(subst:$n:$c:$g)	sms(subst:$n:$c:$g)
SMS - +ε(subst:$n:$c:$g)	SMS(subst:$n:$c:$g)
sms - +ε(subst:$n:$c:$g)	sms(subst:$n:$c:$g)
SMS - +ε(subst:$n:$c:$g)	SMS(subst:$n:$c:$g)
SOK - +ε(subst:$n:$c:$g)	SOK(subst:$n:$c:$g)
SPATiF - +ε(subst:$n:$c:$g)	SPATiF(subst:$n:$c:$g)
SPF - +ε(subst:$n:$c:$g)	SPF(subst:$n:$c:$g)
SPN - +ε(subst:$n:$c:$g)	SPN(subst:$n:$c:$g)
STAR - +ε(subst:$n:$c:$g)	STAR(subst:$n:$c:$g)
STOCER - +ε(subst:$n:$c:$g)	STOCER(subst:$n:$c:$g)
SUDANAIR - +ε(subst:$n:$c:$g)	SUDANAIR(subst:$n:$c:$g)
ŚAM - +ε(subst:$n:$c:$g)	ŚAM(subst:$n:$c:$g)
ŚPN - +ε(subst:$n:$c:$g)	ŚPN(subst:$n:$c:$g)
TAB - +ε(subst:$n:$c:$g)	TAB(subst:$n:$c:$g)
TIR - +ε(subst:$n:$c:$g)	TIR(subst:$n:$c:$g)
TKKF - +ε(subst:$n:$c:$g)	TKKF(subst:$n:$c:$g)
TOPR - +ε(subst:$n:$c:$g)	TOPR(subst:$n:$c:$g)
TOZ - +ε(subst:$n:$c:$g)	TOZ(subst:$n:$c:$g)
TPN - +ε(subst:$n:$c:$g)	TPN(subst:$n:$c:$g)
TPPR - +ε(subst:$n:$c:$g)	TPPR(subst:$n:$c:$g)
TS - +ε(subst:$n:$c:$g)	TS(subst:$n:$c:$g)
TUR - +ε(subst:$n:$c:$g)	TUR(subst:$n:$c:$g)
UAM - +ε(subst:$n:$c:$g)	UAM(subst:$n:$c:$g)
UKF - +ε(subst:$n:$c:$g)	UKF(subst:$n:$c:$g)
UM - +ε(subst:$n:$c:$g)	UM(subst:$n:$c:$g)
UMCS - +ε(subst:$n:$c:$g)	UMCS(subst:$n:$c:$g)
UMTS - +ε(subst:$n:$c:$g)	UMTS(subst:$n:$c:$g)
UNICEF - +ε(subst:$n:$c:$g)	UNICEF(subst:$n:$c:$g)
UNIX - +ε(subst:$n:$c:$g)	UNIX(subst:$n:$c:$g)
UNZ - +ε(subst:$n:$c:$g)	UNZ(subst:$n:$c:$g)
UOP - +ε(subst:$n:$c:$g)	UOP(subst:$n:$c:$g)
UPR - +ε(subst:$n:$c:$g)	UPR(subst:$n:$c:$g)
UPS - +ε(subst:$n:$c:$g)	UPS(subst:$n:$c:$g)
URL - +ε(subst:$n:$c:$g)	URL(subst:$n:$c:$g)
URM - +ε(subst:$n:$c:$g)	URM(subst:$n:$c:$g)
URz - +ε(subst:$n:$c:$g)	URz(subst:$n:$c:$g)
US - +ε(subst:$n:$c:$g)	US(subst:$n:$c:$g)
UŚ - +ε(subst:$n:$c:$g)	UŚ(subst:$n:$c:$g)
