Al .	Aleja	subst:pl:_:f
Nad Kanałem	Nad Kanałem	fixed
Nad Kępą	Nad Kępą	fixed
Nad Kobylą	Nad Kobylą	fixed
Nad Kotarzem	Nad Kotarzem	fixed
Nad Kowalką	Nad Kowalką	fixed
Nad Kółkiem	Nad Kółkiem	fixed
Nad Kuraszewską Drogą	Nad Kuraszewską Drogą	fixed
Nad Łąkami	Nad Łąkami	fixed
Nad Ługiem	Nad Ługiem	fixed
Nad Meszną	Nad Meszną	fixed
Nad Pilicą	Nad Pilicą	fixed
Nad Potokiem	Nad Potokiem	fixed
Nad Przepaścią	Nad Przepaścią	fixed
Nad Rowem	Nad Rowem	fixed
Nad Rzeką	Nad Rzeką	fixed
Nad Sadzawką	Nad Sadzawką	fixed
Nad Sołą	Nad Sołą	fixed
Nad Spółdzielnią	Nad Spółdzielnią	fixed
Nad Stacją	Nad Stacją	fixed
Nad Stawami	Nad Stawami	fixed
Nad Stawem	Nad Stawem	fixed
Nad Stoki	Nad Stoki	fixed
Nad Stokiem	Nad Stokiem	fixed
Nad Strugą	Nad Strugą	fixed
Nad Szosą	Nad Szosą	fixed
Nad Torem	Nad Torem	fixed
Nad Traktem	Nad Traktem	fixed
Nad Wisłą	Nad Wisłą	fixed
Nad Wisłoką	Nad Wisłoką	fixed
Nad Włosienią	Nad Włosienią	fixed
Nad Wodą	Nad Wodą	fixed
Nad Wygonem	Nad Wygonem	fixed
Nad Zieloną	Nad Zieloną	fixed
Na Bagnach	Na Bagnach	fixed
Na Bagnie	Na Bagnie	fixed
Na Bajorze	Na Bajorze	fixed
Na Bałdonicach	Na Bałdonicach	fixed
Na Berdechowie	Na Berdechowie	fixed
Na Bezdół	Na Bezdół	fixed
Na Bielskim Gościńcu	Na Bielskim Gościńcu	fixed
Na Blejch	Na Blejch	fixed
Na Blichu	Na Blichu	fixed
Na Błoniach	Na Błoniach	fixed
Na Błoniu	Na Błoniu	fixed
Na Borach	Na Borach	fixed
Na Borysach	Na Borysach	fixed
Na Brodle	Na Brodle	fixed
Na Brzeg	Na Brzeg	fixed
Na Brzegach	Na Brzegach	fixed
Na Brzegu	Na Brzegu	fixed
Na Brzozówkach	Na Brzozówkach	fixed
Na Budach	Na Budach	fixed
Na Bugaju	Na Bugaju	fixed
Na Bukową	Na Bukową	fixed
Na Bukowinie	Na Bukowinie	fixed
Na Bukowskiej	Na Bukowskiej	fixed
Na Bułkowej	Na Bułkowej	fixed
Na Byczkowej Górce	Na Byczkowej Górce	fixed
Na Cegielni	Na Cegielni	fixed
Na Cegielnię	Na Cegielnię	fixed
Na Cerli	Na Cerli	fixed
Na Czarmuń	Na Czarmuń	fixed
Na Dąbrach	Na Dąbrach	fixed
Na Debrzy	Na Debrzy	fixed
Na Dębie	Na Dębie	fixed
Na Dole	Na Dole	fixed
Na Dolinach	Na Dolinach	fixed
Na Dolinie	Na Dolinie	fixed
Na Dolnem	Na Dolnem	fixed
Na Dołach	Na Dołach	fixed
Na Dołkach	Na Dołkach	fixed
Na Dołku	Na Dołku	fixed
Na Dół	Na Dół	fixed
Na Dragonówce	Na Dragonówce	fixed
Na Drodze	Na Drodze	fixed
Na Drogach	Na Drogach	fixed
Na Dworskiem	Na Dworskiem	fixed
Na Dziadku	Na Dziadku	fixed
Na Dziale	Na Dziale	fixed
Na Dziedno	Na Dziedno	fixed
Na Dzwonku	Na Dzwonku	fixed
Na Folwarku	Na Folwarku	fixed
Na Gaiskach	Na Gaiskach	fixed
Na Garbach	Na Garbach	fixed
Na Glinie	Na Glinie	fixed
Na Głębokim	Na Głębokim	fixed
Na Gościńcu	Na Gościńcu	fixed
Na Górach	Na Górach	fixed
Na Górce	Na Górce	fixed
Na Górkach	Na Górkach	fixed
Na Góry	Na Góry	fixed
Na Górze	Na Górze	fixed
Na Grabówce	Na Grabówce	fixed
Na Granicach	Na Granicach	fixed
Na Granice	Na Granice	fixed
Na Granicy	Na Granicy	fixed
Na Granicy Jasieńskiej	Na Granicy Jasieńskiej	fixed
Na Grapie	Na Grapie	fixed
Na Grobli	Na Grobli	fixed
Na Groniu	Na Groniu	fixed
Na Groń	Na Groń	fixed
Na Gruntach	Na Gruntach	fixed
Na Hektarach	Na Hektarach	fixed
Na Jamach	Na Jamach	fixed
Na Jaworzynę	Na Jaworzynę	fixed
Na Jazie	Na Jazie	fixed
Na Kamieniach	Na Kamieniach	fixed
Na Kamieniu	Na Kamieniu	fixed
Na Kamieńcu	Na Kamieńcu	fixed
Na Karczmarkach	Na Karczmarkach	fixed
Na Karolkę	Na Karolkę	fixed
Na Kąt	Na Kąt	fixed
Na Kępę	Na Kępę	fixed
Na Kępie	Na Kępie	fixed
Na Kępkach	Na Kępkach	fixed
Na Klarynowo	Na Klarynowo	fixed
Na Klinach	Na Klinach	fixed
Na Klinie	Na Klinie	fixed
Na Knapiarkę	Na Knapiarkę	fixed
Na Kobyłce	Na Kobyłce	fixed
Na Koloniach	Na Koloniach	fixed
Na Kolonię	Na Kolonię	fixed
Na Kolonii	Na Kolonii	fixed
Na Końcu	Na Końcu	fixed
Na Kopcu	Na Kopcu	fixed
Na Kotarzu	Na Kotarzu	fixed
Na Kozicy	Na Kozicy	fixed
Na Krzu	Na Krzu	fixed
Na Krzyżki	Na Krzyżki	fixed
Na Krzyżowej	Na Krzyżowej	fixed
Na Krzyżówkach	Na Krzyżówkach	fixed
Na Las	Na Las	fixed
Na Lasku	Na Lasku	fixed
Na Lądach	Na Lądach	fixed
Na Lądzie	Na Lądzie	fixed
Na Lepiance	Na Lepiance	fixed
Na Lesie	Na Lesie	fixed
Na Lesisku	Na Lesisku	fixed
Na Liboszce	Na Liboszce	fixed
Na Lubczę	Na Lubczę	fixed
Na Łanie	Na Łanie	fixed
Na Łaniu	Na Łaniu	fixed
Na Łazach	Na Łazach	fixed
Na Łazy	Na Łazy	fixed
Na Łące	Na Łące	fixed
Na Łączkę	Na Łączkę	fixed
Na Łąkach	Na Łąkach	fixed
Na Łąkę	Na Łąkę	fixed
Na Łęgu	Na Łęgu	fixed
Na Łomy	Na Łomy	fixed
Na Majerzu	Na Majerzu	fixed
Na Majoracie	Na Majoracie	fixed
Na Margani	Na Margani	fixed
Na Mecu	Na Mecu	fixed
Na Michałówce	Na Michałówce	fixed
Na Młynie	Na Młynie	fixed
Na Młynówce	Na Młynówce	fixed
Na Mostkach	Na Mostkach	fixed
Na Moście	Na Moście	fixed
Na Mycie	Na Mycie	fixed
Na Niwie	Na Niwie	fixed
Na Nowej Szosie	Na Nowej Szosie	fixed
Na Odłogach	Na Odłogach	fixed
Na Odolu	Na Odolu	fixed
Na Ogrodzie	Na Ogrodzie	fixed
Na Okrążkach	Na Okrążkach	fixed
Na Olsie	Na Olsie	fixed
Na Opałkówkę	Na Opałkówkę	fixed
Na Ozerze	Na Ozerze	fixed
Na Pagórach	Na Pagórach	fixed
Na Pagórku	Na Pagórku	fixed
Na Pagórze	Na Pagórze	fixed
Na Pańskie	Na Pańskie	fixed
Na Pańskiem	Na Pańskiem	fixed
Na Pańskim	Na Pańskim	fixed
Na Pańskim Polu	Na Pańskim Polu	fixed
Na Parcelach	Na Parcelach	fixed
Na Parceli	Na Parceli	fixed
Na Parku	Na Parku	fixed
Na Pastwie	Na Pastwie	fixed
Na Patokach	Na Patokach	fixed
Na Piachach	Na Piachach	fixed
Na Piaskach	Na Piaskach	fixed
Na Piasku	Na Piasku	fixed
Na Piekle	Na Piekle	fixed
Na Piziakach	Na Piziakach	fixed
Na Placu	Na Placu	fixed
Na Płoszczynie	Na Płoszczynie	fixed
Na Podlasiu	Na Podlasiu	fixed
Na Podłączu	Na Podłączu	fixed
Na Podłężu	Na Podłężu	fixed
Na Polach	Na Polach	fixed
Na Polanę	Na Polanę	fixed
Na Polanie	Na Polanie	fixed
Na Policach	Na Policach	fixed
Na Polu	Na Polu	fixed
Na Popławach	Na Popławach	fixed
Na Porębie	Na Porębie	fixed
Na Potoki	Na Potoki	fixed
Na Potoku	Na Potoku	fixed
Na Pólku	Na Pólku	fixed
Na Praszywce	Na Praszywce	fixed
Na Prochowni	Na Prochowni	fixed
Na Przedmieściu	Na Przedmieściu	fixed
Na Przepałkowo	Na Przepałkowo	fixed
Na Przydolu	Na Przydolu	fixed
Na Pustki	Na Pustki	fixed
Na Rachawkach	Na Rachawkach	fixed
Na Roli	Na Roli	fixed
Na Rówieńki	Na Rówieńki	fixed
Na Ruskiem	Na Ruskiem	fixed
Na Rybakach	Na Rybakach	fixed
Na Rzekach	Na Rzekach	fixed
Na Rzędzie	Na Rzędzie	fixed
Na Seredniej	Na Seredniej	fixed
Na Serwitucie	Na Serwitucie	fixed
Na Siedziaszczym	Na Siedziaszczym	fixed
Na Sieńsku	Na Sieńsku	fixed
Na Skale	Na Skale	fixed
Na Skałce	Na Skałce	fixed
Na Skarpie	Na Skarpie	fixed
Na Skotni	Na Skotni	fixed
Na Skotnicy	Na Skotnicy	fixed
Na Skręcie	Na Skręcie	fixed
Na Sołtystwie	Na Sołtystwie	fixed
Na Stację	Na Stację	fixed
Na Stanisławie	Na Stanisławie	fixed
Na Stawach	Na Stawach	fixed
Na Stawie	Na Stawie	fixed
Na Stawkach	Na Stawkach	fixed
Na Stawku	Na Stawku	fixed
Na Stronie	Na Stronie	fixed
Na Studzienkach	Na Studzienkach	fixed
Na Szaście	Na Szaście	fixed
Na Szklanej	Na Szklanej	fixed
Na Szlabancie	Na Szlabancie	fixed
Na Szmaciarni	Na Szmaciarni	fixed
Na Szosie	Na Szosie	fixed
Na Szosie Krzyżanowskiej	Na Szosie Krzyżanowskiej	fixed
Na Szwedach	Na Szwedach	fixed
Na Świerczynie	Na Świerczynie	fixed
Na Świniarki	Na Świniarki	fixed
Na Tamtej Górze	Na Tamtej Górze	fixed
Na Tarniu	Na Tarniu	fixed
Na Tarnówce	Na Tarnówce	fixed
Na Tartak	Na Tartak	fixed
Na Tokarnem	Na Tokarnem	fixed
Na Torfniakach	Na Torfniakach	fixed
Na Trawniki	Na Trawniki	fixed
Na Trybie	Na Trybie	fixed
Na Uboczy	Na Uboczy	fixed
Na Ujezdnem	Na Ujezdnem	fixed
Na Wałach	Na Wałach	fixed
Na Wątoku	Na Wątoku	fixed
Na Wąwozach	Na Wąwozach	fixed
Na Wesołą	Na Wesołą	fixed
Na Węgierskiem	Na Węgierskiem	fixed
Na Wiatraku	Na Wiatraku	fixed
Na Wielki Las	Na Wielki Las	fixed
Na Wierchu	Na Wierchu	fixed
Na Wilku	Na Wilku	fixed
Na Winnicy	Na Winnicy	fixed
Na Wsi	Na Wsi	fixed
Na Wygonach	Na Wygonach	fixed
Na Wygonie	Na Wygonie	fixed
Na Wypuście	Na Wypuście	fixed
Na Wyspie	Na Wyspie	fixed
Na Wytrzyszczonie	Na Wytrzyszczonie	fixed
Na Wzgórzu	Na Wzgórzu	fixed
Na Wzorach	Na Wzorach	fixed
Na Zabartowo	Na Zabartowo	fixed
Na Zabrzeżu	Na Zabrzeżu	fixed
Na Zadnim Hrudzie	Na Zadnim Hrudzie	fixed
Na Zagrodziu	Na Zagrodziu	fixed
Na Zagruszce	Na Zagruszce	fixed
Na Zagumniu	Na Zagumniu	fixed
Na Zahorodziu	Na Zahorodziu	fixed
Na Zalesie	Na Zalesie	fixed
Na Zamku	Na Zamku	fixed
Na Zapłociu	Na Zapłociu	fixed
Na Zawichowskiem	Na Zawichowskiem	fixed
Na Ziemniaczysku	Na Ziemniaczysku	fixed
Na Żarnówce	Na Żarnówce	fixed
Od Baranki	Od Baranki	fixed
Od Braciejowej	Od Braciejowej	fixed
Od Chaby	Od Chaby	fixed
Od Czulic	Od Czulic	fixed
Od Dębiny	Od Dębiny	fixed
Od Folwarku	Od Folwarku	fixed
Od Gaci	Od Gaci	fixed
Od Gosprzydowej	Od Gosprzydowej	fixed
Od Gościńca	Od Gościńca	fixed
Od Grybla	Od Grybla	fixed
Od Igołomi	Od Igołomi	fixed
Od Jastrząbki	Od Jastrząbki	fixed
Od Krasnej	Od Krasnej	fixed
Od Lalina	Od Lalina	fixed
Od Lasu	Od Lasu	fixed
Od Lichwina	Od Lichwina	fixed
Od Majdanu	Od Majdanu	fixed
Od Meszny	Od Meszny	fixed
Od Miasta	Od Miasta	fixed
Od Mirenia	Od Mirenia	fixed
Od Młynka	Od Młynka	fixed
Od Odludni	Od Odludni	fixed
Od Podgórza	Od Podgórza	fixed
Od Podlesia	Od Podlesia	fixed
Od Porąbek	Od Porąbek	fixed
Od Prebendy	Od Prebendy	fixed
Od Przegród	Od Przegród	fixed
Od Rusinowa	Od Rusinowa	fixed
Od Stacji	Od Stacji	fixed
Od Szarbi	Od Szarbi	fixed
Od Tarnawy	Od Tarnawy	fixed
Od Waśniowa	Od Waśniowa	fixed
Od Wygody Zakręgi	Od Wygody Zakręgi	fixed
Od Wygonu	Od Wygonu	fixed
Od Zwolenia	Od Zwolenia	fixed
Pode Drapą	Pode Drapą	fixed
Pode Dworem	Pode Dworem	fixed
Pod Adamowem	Pod Adamowem	fixed
Pod Arendą	Pod Arendą	fixed
Pod Arynowem	Pod Arynowem	fixed
Pod Babą	Pod Babą	fixed
Pod Babę	Pod Babę	fixed
Pod Babinem	Pod Babinem	fixed
Pod Bagnami	Pod Bagnami	fixed
Pod Bagniewko	Pod Bagniewko	fixed
Pod Bagniewo	Pod Bagniewo	fixed
Pod Bagno	Pod Bagno	fixed
Pod Bajdami	Pod Bajdami	fixed
Pod Bajerze	Pod Bajerze	fixed
Pod Bałówki	Pod Bałówki	fixed
Pod Barbarką	Pod Barbarką	fixed
Pod Bargłowem	Pod Bargłowem	fixed
Pod Bartnią Górą	Pod Bartnią Górą	fixed
Pod Bąkowem	Pod Bąkowem	fixed
Pod Bełzowem	Pod Bełzowem	fixed
Pod Beskidem	Pod Beskidem	fixed
Pod Będziemyślem	Pod Będziemyślem	fixed
Pod Białą	Pod Białą	fixed
Pod Białem	Pod Białem	fixed
Pod Bibowcem	Pod Bibowcem	fixed
Pod Bidzianami	Pod Bidzianami	fixed
Pod Biechowo	Pod Biechowo	fixed
Pod Bieniatką	Pod Bieniatką	fixed
Pod Bieździedzą	Pod Bieździedzą	fixed
Pod Bogorią	Pod Bogorią	fixed
Pod Borem	Pod Borem	fixed
Pod Borkiem	Pod Borkiem	fixed
Pod Borowcem	Pod Borowcem	fixed
Pod Boruszanką	Pod Boruszanką	fixed
Pod Borzyminem	Pod Borzyminem	fixed
Pod Bożą Męką	Pod Bożą Męką	fixed
Pod Bożywolą	Pod Bożywolą	fixed
Pod Bramkę	Pod Bramkę	fixed
Pod Brodłem	Pod Brodłem	fixed
Pod Brodniczkę	Pod Brodniczkę	fixed
Pod Brudzawki	Pod Brudzawki	fixed
Pod Brudzawy	Pod Brudzawy	fixed
Pod Brudzowice	Pod Brudzowice	fixed
Pod Brzegiem	Pod Brzegiem	fixed
Pod Brzeskiem	Pod Brzeskiem	fixed
Pod Brzezinami	Pod Brzezinami	fixed
Pod Brzeziny	Pod Brzeziny	fixed
Pod Brzezową	Pod Brzezową	fixed
Pod Brzeżno	Pod Brzeżno	fixed
Pod Bubnowem	Pod Bubnowem	fixed
Pod Buczyną	Pod Buczyną	fixed
Pod Budkami	Pod Budkami	fixed
Pod Budziskami	Pod Budziskami	fixed
Pod Bukami	Pod Bukami	fixed
Pod Bukowiec	Pod Bukowiec	fixed
Pod Bukowiną	Pod Bukowiną	fixed
Pod Bzianką	Pod Bzianką	fixed
Pod Capią Górą	Pod Capią Górą	fixed
Pod Cegielnią	Pod Cegielnią	fixed
Pod Celinami	Pod Celinami	fixed
Pod Cerkwią	Pod Cerkwią	fixed
Pod Cerkwicę	Pod Cerkwicę	fixed
Pod Chełmem	Pod Chełmem	fixed
Pod Chełmkiem	Pod Chełmkiem	fixed
Pod Chliną	Pod Chliną	fixed
Pod Chłapkiem	Pod Chłapkiem	fixed
Pod Choinami	Pod Choinami	fixed
Pod Choiną	Pod Choiną	fixed
Pod Choinką	Pod Choinką	fixed
Pod Chojną	Pod Chojną	fixed
Pod Cholerzynem	Pod Cholerzynem	fixed
Pod Cholewianą Górą	Pod Cholewianą Górą	fixed
Pod Chonową	Pod Chonową	fixed
Pod Choszczówką	Pod Choszczówką	fixed
Pod Chronówkiem	Pod Chronówkiem	fixed
Pod Ciechocin	Pod Ciechocin	fixed
Pod Ciecierzem	Pod Ciecierzem	fixed
Pod Cmentarzem	Pod Cmentarzem	fixed
Pod Cyganką	Pod Cyganką	fixed
Pod Cykarzewem	Pod Cykarzewem	fixed
Pod Czarnym Lasem	Pod Czarnym Lasem	fixed
Pod Czerminem	Pod Czerminem	fixed
Pod Czersk	Pod Czersk	fixed
Pod Czerwonkę	Pod Czerwonkę	fixed
Pod Czyżewo	Pod Czyżewo	fixed
Pod Dąbrami	Pod Dąbrami	fixed
Pod Dąbrową	Pod Dąbrową	fixed
Pod Dąbrówkę	Pod Dąbrówkę	fixed
Pod Dąbry	Pod Dąbry	fixed
Pod Dębami	Pod Dębami	fixed
Pod Dębem	Pod Dębem	fixed
Pod Dębiną	Pod Dębiną	fixed
Pod Dębową Łąką	Pod Dębową Łąką	fixed
Pod Długie	Pod Długie	fixed
Pod Dolny Młyn	Pod Dolny Młyn	fixed
Pod Dołsa	Pod Dołsa	fixed
Pod Domaradzem	Pod Domaradzem	fixed
Pod Domasznem	Pod Domasznem	fixed
Pod Dorposz	Pod Dorposz	fixed
Pod Drutami	Pod Drutami	fixed
Pod Drzonowo	Pod Drzonowo	fixed
Pod Dubiele	Pod Dubiele	fixed
Pod Dubielno	Pod Dubielno	fixed
Pod Dunajcem	Pod Dunajcem	fixed
Pod Dury	Pod Dury	fixed
Pod Dworem	Pod Dworem	fixed
Pod Dworzec	Pod Dworzec	fixed
Pod Dylewo	Pod Dylewo	fixed
Pod Dziadówkami	Pod Dziadówkami	fixed
Pod Dział	Pod Dział	fixed
Pod Działem	Pod Działem	fixed
Pod Działkami	Pod Działkami	fixed
Pod Dzielnicą	Pod Dzielnicą	fixed
Pod Elizewo	Pod Elizewo	fixed
Pod Fabryką	Pod Fabryką	fixed
Pod Felinowem	Pod Felinowem	fixed
Pod Figurą	Pod Figurą	fixed
Pod Filipów	Pod Filipów	fixed
Pod Folwarkiem	Pod Folwarkiem	fixed
Pod Franciszkowem	Pod Franciszkowem	fixed
Pod Gajem	Pod Gajem	fixed
Pod Gajką	Pod Gajką	fixed
Pod Garbem	Pod Garbem	fixed
Pod Gatką	Pod Gatką	fixed
Pod Gawroniec	Pod Gawroniec	fixed
Pod Gąszczami	Pod Gąszczami	fixed
Pod Gbiskami	Pod Gbiskami	fixed
Pod Głażewo	Pod Głażewo	fixed
Pod Gockowice	Pod Gockowice	fixed
Pod Godziszką	Pod Godziszką	fixed
Pod Gojem	Pod Gojem	fixed
Pod Gorzelnią	Pod Gorzelnią	fixed
Pod Gościńcem	Pod Gościńcem	fixed
Pod Goźlicami	Pod Goźlicami	fixed
