6%; -10% Hydroksyetyloskrobia 200/0,5 Baxter | 11145525	1 ml roztw. do inf. zawiera 60 mg lub 100 mg hydroksyetyloskrobi.
Actos | 12993641	1 tabl. zawiera 15 mg, 30 mg lub 45 mg pioglitazonu (w postaci chlorowodorku).
Acurenal<sup>®</sup> | 1313306	1 tabl. zawiera 5 mg, 10 mg lub 20 mg chinaprylu w postaci chinaprylu chlorowodorku. 1 tabl. zawiera 43,328 mg chlorowodorku chinaprylu co odpowiada 40 mg chinaprylu.
Adacel | 30729213	1 dawka 0,5 ml zawiera: nie mniej niż 2 j.m. toksoidu błoniczego, nie mniej niż 20 j.m. toksoidu tężcowego oraz 2,5 µg toksoidu krztuścowego.
Adadox; Doxorion | 35267745; 36263582	1 tabl. zawiera 2,42 mg lub 4,84 mg doksazosyny mezylanu, co odpowiada 2 mg lub 4 mg doksazosyny.
Adamon SR 50; -100; -150; -200 | 4492407	1 kaps. o przedłużonym uwalnianiu zawiera 50 mg, 100 mg, 150 mg lub 200 mg chlorowodorku tramadolu.
Adaring; Contraseton; Ginoring<sup>®</sup> | 37011607; 37430447; 39834323	Produkt zawiera 11,0 mg etonogestrelu i 3,474 mg etynyloestradiolu. System terapeutyczny dopochwowy uwalnia etonogestrel i etynyloestradiol w średniej ilości odpowiednio 0,120 mg i 0,015 mg w ciągu 24 h, przez okres 3 tyg.
Adartrel<sup>®</sup> | 7707995	1 tabl. powl. zawiera 0,25 mg, 0,5 mg lub 2 mg ropinirolu (w postaci chlorowodorku).
Adasuve | 24013473	Inhalator jednodawkowy dostarcza 4,5 mg lub 9,1 mg loksapiny.
Adcetris | 21109505	1 fiol. zawiera 50 mg brentuksymabu vedotin. Po rekonstytucji 1 ml zawiera 5 mg brentuksymabu vedotin. Preparat jest koniugatem przeciwciała i leku zawierającym przeciwciało monoklonalne skierowane przeciwko CD30 (rekombinowana chimeryczna immunoglobulina G1 [IgG1], produkowana w komórkach jajników chomika chińskiego za pomocą technologii rekombinacji DNA), które jest powiązane kowalencyjnie z aurystatyną E jednometylowaną (ang. MMAE) działającą na mikrotubule.
Adeksa; Symrose | 11596152; 13200451	1 tabl. zawiera 50 mg lub 100 mg akarbozy.
Adempas | 24016948	1 tabl. powl. zawiera 0,5 mg, 1 mg, 1,5 mg, 2 mg lub 2,5 mg riocyguatu.
Adenuric<sup>®</sup> | 12964368	1 tabl. zawiera 80 mg lub 120 mg febuksostatu.
Adin | 28549259	1 liofilizat doustny zawiera 60 µg, 120 µg lub 240 µg desmopresyny w postaci desmopresyny octanu.
Adipine; Alneta; Amlaxopin; Amlodipine Bluefish; Amlodipine Vitabalans; Amlomyl | 6026917; 10825616; 11120299; 11142412; 22204083; 25000324	1 tabl. zawiera 5 mg lub 10 mg amlodypiny (w postaci amlodypiny bezylanu).
Adriblastina<sup>®</sup> PFS; -RD | 58	Preparat PFS: 1 fiolka (5 ml lub 25 ml) zawiera 10 mg lub 50 mg chlorowodorku doksorubicyny. Preparat RD: 1 fiolka zawiera 10 mg lub 50 mg chlorowodorku doksorubicyny w postaci liofilizatu.
Advagraf | 5120917	1 kaps. o przedłużonym uwalnianiu twarda zawiera 0,5 mg, 1 mg, 3 mg lub 5 mg takrolimusu (w postaci takrolimusu jednowodnego).
Advantan | 59	1 g emulsji, kremu lub maści zawiera 1 mg aceponianu metyloprednizolonu.
Aerrane | 2979026	1 but. zawiera 100 ml lub 250 ml izofluranu.
Aethoxysklerol 0,5%; -1%; -2%; -3% | 3291937	1 amp. preparatu (2 ml) zawiera 10 mg, 20 mg, 40 mg lub 60 mg polidokanolu. Preparat zawiera 5% etanolu.
Afinitor | 10583237	1 tabl. zawiera 5 mg lub 10 mg ewerolimusu.
Afloderm; Afloderm - (IR) | 11142178; 37493395	1 g kremu lub maści zawiera 0,5 mg alklometazonu  dipropionianu.
Afobam<sup>®</sup> - (IR); Alpragen | 158168; 37223126	1 tabl. zawiera 0,25 mg, 0,5 mg lub 1 mg alprazolamu.
Afobam<sup>®</sup>; Afobam<sup>®</sup> - (IR) | 72; 37495857	1 tabl. zawiera 0,25 mg lub 0,5 mg alprazolamu.
Agapurin<sup>®</sup> SR 400; - 600 - (IR); Agapurin<sup>®</sup> SR 400; -600 - (IR) | 37223991; 37497404	1 tabl. o przedł. uwalnianiu zawiera 400 mg lub 600 mg pentoksyfiliny.
Agen 5; -10 - (IR); Agen 5; -10 - (IR); Aldan<sup>®</sup>; Amlonor<sup>®</sup>; Amlopin<sup>®</sup>; Amlopin<sup>®</sup> - (IR); Amlopin<sup>®</sup> - (IR); Amlopin<sup>®</sup> - (IR); Amlopin<sup>®</sup> - (IR); Amlopin<sup>®</sup> - (IR); Normodipine<sup>®</sup>; Norvasc<sup>®</sup> | 182; 2232; 91818; 314952; 4492651; 22204920; 23102707; 25452981; 27397628; 32937771; 35244575; 36258673	1 tabl. zawiera 5 mg lub 10 mg amlodypiny w postaci amlodypiny bezylanu.
Agen<sup>®</sup> 5; -10; Amlodipinum 123ratio; Amlodipinum 123ratio - (IR); Finamlox; Zeppeliton 5; -10 | 2971536; 10479658; 11068424; 11142417; 27398276	1 tabl. zawiera 5 mg lub 10 mg amlodypiny.
Aidee | 28815145	1 tabl. powl. zawiera 2 mg dienogestu i 0,03 mg etynyloestradiolu.
AirFluSal Forspiro | 32330259	1 dawka odmierzona zawiera 50 µg salmeterolu w postaci salmeterolu ksynafonianu oraz 250 µg lub 500 µg flutykazonu propionianu. Odpowiada to dostarczonej przez ustnik dawce 45 µg salmeterolu (w postaci salmeterolu ksynafonianu) i 233 µg lub 465 µg flutykazonu propionianu.
Airexar Spiromax | 31975788	1 dawka odmierzona zawiera 50 µg salmeterolu (w postaci salmeterolu ksynafonianu) i 500 µg flutykazonu propionianu. 1 dawka dostarczona (dawka z ustnika) zawiera 45 µg salmeterolu (w postaci salmeterolu ksynafonianu) i 465 µg  flutykazonu propionianu.
Aknemycin<sup>®</sup> Plus; Aknemycin<sup>®</sup> Plus - (IR); Aknemycin<sup>®</sup> Plus - (IR) | 86; 37224674; 37502275	1 g płynu na skórę zawiera 40 mg erytromycyny i 0,25 mg tretynoiny.
Aknemycin<sup>®</sup>; Aknemycin<sup>®</sup> - (IR) | 85; 37500385	1 g maści lub płynu na skórę zawiera 20 mg erytromycyny.
Aksoderm<sup>®</sup>; -Forte | 122316	1 g maści zawiera 400 j.m. lub 1000 j.m. retynolu.
Akynzeo | 27605519	1 kaps. zawiera 300 mg netupitantu oraz palonosetronu chlorowodorek w ilości odpowiadającej 0,5 mg palonosetronu.
Alcreno (Quetiapine Accord) | 11611515	1 tabl. powl. zawiera 25 mg, 100 mg, 200 mg lub 300 mg kwetiapiny w postaci kwetiapiny hemifumaranu.
Aleric<sup>™</sup> Deslo | 22476833	1 tabl. uleg. rozp. w j. ustnej zawiera 2,5 mg lub 5 mg desloratadyny. 1 ml roztw. doustnego zawiera 0,5 mg desloratadyny.
Alexan<sup>®</sup> | 2979237	1 fiolka zawiera 5 mg, 10 mg, 20 mg lub 40 mg cytarabiny.
Alfadiol | 108339	1 kaps. zawiera 0,25 µg lub 1 µg alfakalcydolu.
Allupol<sup>®</sup>; Argadopin | 127; 38060101	1 tabl. zawiera 100 mg lub 300 mg allopurynolu.
Almiden | 37067082	1 tabl. zawiera amlodypiny bezylan w ilości odpowiadającej 5 mg lub 10 mg amlodypiny.
Alortia | 25475974	1 tabl. powl. zawiera 50 mg losartanu potasowego i 6,94 mg amlodypiny bezylanu, co odpowiada 5 mg amlodypiny. 1 tabl. powl. zawiera 50 mg losartanu potasowego i 13,88 mg amlodypiny bezylanu, co odpowiada 10 mg amlodypiny. 1 tabl. powl. zawiera 100 mg losartanu potasowego i 6,94 mg amlodypiny bezylanu, co odpowiada 5 mg amlodypiny. 1 tabl. powl. zawiera 100 mg losartanu potasowego i 13,88 mg amlodypiny bezylanu, co odpowiada 10 mg amlodypiny.
Alpicort<sup>®</sup> E; Alpicort<sup>®</sup> E - (IR); Alpicort<sup>®</sup> E - (IR) | 132; 37244353; 37517684	1 ml płynu na skórę zawiera 2 mg prednizolonu, 0,05 mg estradiolu benzoesanu i 4 mg kwasu salicylowego.
Alpicort<sup>®</sup>; Alpicort<sup>®</sup> - (IR); Alpicort<sup>®</sup> - (IR) | 313722; 37249232; 37531303	1 ml płynu do stosowania na skórę zawiera 2 mg prednizolonu i 4 mg kwasu salicylowego.
Alprox<sup>®</sup> | 134	1 tabl. zawiera 0,25 mg, 0,5 mg lub 1,0 mg alprazolamu.
Alventa<sup>®</sup>; Alventa<sup>®</sup> - (IR); Velaxin<sup>®</sup> ER 37,5; -75; -150 | 4498864; 5301666; 30218724	1 kaps. o przedł. uwalnianiu zawiera 37,5 mg, 75 mg lub 150 mg wenlafaksyny.
Alvesco<sup>®</sup> 80; -160 | 704281	1 dawka (dostarczana przez ustnik inhalatora) zawiera 80 µg lub 160 µg cyklezonidu.
Alvokast | 11147351	1 tabl. do rozgr. i żucia zawiera 4 mg lub 5 mg montelukastu w postaci montelukastu sodowego. 1 tabl. powl. zawiera 10 mg montelukastu w postaci montelukastu sodowego.<br/><br/>
Amaryl<sup>®</sup> 1; -2; -3; -4; Avaron<sup>®</sup>; Diaril; Glibetic 1 mg; -2 mg; -3 mg; -4 mg; Glidiamid; Glimepiride Accord; Glimepiride Genoptim; Glimorion | 151; 1913767; 2196237; 2196841; 3006793; 11145168; 25477075; 37070845	1 tabl. zawiera 1 mg, 2 mg, 3 mg lub 4 mg glimepirydu.
Amikacin B.Braun | 24822613	1 ml roztw. do inf. zawiera 2,5 mg, 5 mg lub 10 mg amikacyny w postaci siarczanu amikacyny.
Amisan | 9930261	1 tabl. zawiera 50 mg, 200 mg lub 400 mg amisulprydu.
Amitriptylinum VP | 179	1 tabl. powl. zawiera 10 mg lub 25 mg amitryptyliny chlorowodorku.
Amlator; Amlodipine/Atorvastatin Pfizer | 11596309; 11784936	1 tabl. powl. zawiera 10 mg lub 20 mg atorwastatyny oraz 5 mg lub 10 mg amlodypiny.
Amlessa | 11784799	1 tabl. zawiera 4 mg lub 8 mg peryndoprylu z tert-butyloaminą (co odpowiada 3,34 mg lub 6,68 mg peryndoprylu) i 5 mg lub 10 mg amlodypiny (w postaci bezylanu).
Amlodipine Aurobindo | 23100733	1 tabl. zawiera amlodypiny bezylan odpowiadający 5 mg lub 10 mg amlodypiny.
Amlozek<sup>®</sup> | 183	1 tabl. zawiera 5 mg lub 10 mg amlodypiny w postaci bezylanu amlodypiny.
Amoclan | 37716089	1 tabl. powl. zawiera amoksycylinę trójwodną w ilości odpowiadającej 875 mg amoksycyliny i klawulanian potasu w ilości odpowiadającej 125 mg kwasu klawulanowego.
Amoclan BID | 11142442	5 ml zawiesiny zawiera 400 mg amoksycyliny w postaci amoksycyliny trójwodnej i 57 mg kwasu klawulanowego w postaci klawulanianu potasu.
Amoksiklav<sup>®</sup> | 184	1 tabl. zawiera 250 mg, 500 mg lub 875 mg amoksycyliny w postaci amoksycyliny trójwodnej oraz 125 mg kwasu klawulanowego w postaci klawulanianu potasu.
Amoksiklav<sup>®</sup> | 23886280	1 fiolka zawiera 500 mg lub 1000 mg amoksycyliny w postaci amoksycyliny sodowej oraz 100 mg lub 200 mg kwasu klawulanowego w postaci klawulanianu potasu. 1 saszetka zawiera 875 mg amoksycyliny w postaci amoksycyliny trójwodnej (1004,59 mg) i 125 mg kwasu klawulanowego w postaci klawulanianu potasu (148,99 mg).
Amoksiklav<sup>®</sup> | 26695299	5 ml zaw. (1 miarka dozująca) zawiera 400 mg amoksycyliny w postaci amoksycyliny trójwodnej i 57 mg kwasu klawulanowego w postaci klawulanianu potasu.
Amoksiklav<sup>®</sup> - (IR); Amoksiklav<sup>®</sup> - (IR); Amoksiklav<sup>®</sup> - (IR) | 28521339; 37067959; 38399963	1 tabl. zawiera 875 mg amoksycyliny w postaci amoksycyliny trójwodnej oraz 125 mg kwasu klawulanowego w postaci klawulanianu potasu.
Amoksiklav<sup>®</sup> Quicktab | 26699998	1 tabl. zawiera 500 mg lub 875 mg amoksycyliny w postaci amoksycyliny trójwodnej oraz 125 mg kwasu klawulanowego w postaci klawulanianu potasu.
Amotaks<sup>®</sup> Dis | 187	1 tabl. zawiera 500 mg, 750 mg lub 1 g amoksycyliny w postaci amoksycyliny trójwodnej.
Ampicillin TZF | 191	1 fiolka zawiera 500 mg, 1 g lub 2 g ampicyliny w postaci ampicyliny sodowej.
Ampril 2,5; -5; -10 mg; Rami-A; Ramipril Actavis; Ramipril Aurobindo; Ramipril Billev; Ramipril Pfizer; Vivace - (IR) | 7709941; 9922967; 9931331; 10971495; 15018100; 21714425; 23112621	1 tabl. zawiera 5 mg lub 10 mg ramiprylu.
Ampril HD; -HL; Ramicor<sup>®</sup> Comb; Tritace<sup>®</sup> 2,5 comb; -5 comb | 8764; 11078940; 29295321	1 tabl. zawiera 2,5 mg lub 5 mg ramiprylu i 12,5 mg lub 25 mg hydrochlorotiazydu.
Amsulgen | 32935622	1 tabl. zawiera 200 lub 400 mg amisulprydu.
Amylan | 33389712	1 tabl. powl. zawiera amoksycylinę trójwodną w ilości odpowiadającej 500 lub 875 mg amoksycyliny i potasu klawulanian w ilości odpowiadającej 125 mg kwasu klawulanowego.
Anafranil<sup>®</sup>; -SR 75 | 197	1 tabl. powl. zawiera 10 mg lub 25 mg chlorowodorku klomipraminy. 1 tabl. powl. o przedłużonym uwalnianiu zawiera 75 mg chlorowodorku klomipraminy.
Anagrelide Accord; Atremia; Grenalvon | 38416420; 39358370; 39504022	1 kaps. twarda zawiera 0,5 mg lub 1 mg anagrelidu (w postaci anagrelidu chlorowodorku jednowodnego).
Anagrelide Vipharm | 38416645	1 kaps. twarda zawiera 0,5 mg lub 1 mg anagrelidu w postaci anagrelidu chlorowodorku jednowodnego.
Anapran<sup>®</sup> | 250468	1 tabl. powl. zawiera 275 mg lub 550 mg naproksenu sodowego.
Anapran<sup>®</sup> EC | 20442767	1 tabl. dojelitowa zawiera 250 mg lub 500 mg naproksenu.
Anesderm | 35753601	1 g kremu zawiera 25 mg prylokainy i 25 mg lidokainy.
Anesteloc<sup>®</sup> 20; -40; Contracid; Controloc<sup>®</sup> 20; -40; IPP 20; -40; Nolpaza<sup>®</sup>; Panprazox; Pantogen 40; Pantoprazol Krka; Pantoprazole 123ratio; Pantoprazole Wockhardt; Panzol | 762; 2998887; 4775212; 6266951; 6941614; 9955003; 10380583; 10974554; 11120805; 18680023; 24498448	1 tabl. dojelitowa zawiera 20 mg lub 40 mg pantoprazolu (w postaci pantoprazolu sodowego półtorawodnego).
Angeliq<sup>®</sup> | 1461370	1 tabl. powl. zawiera 1 mg estradiolu w postaci półwodzianu estradiolu i 2 mg drospirenonu.
Angiletta | 26250107	1 tabl. powl. zawiera 2 mg octanu chlormadynonu i 0,03 mg etynyloestradiolu.
Antidol 15 | 22100510	1 tabl. zawiera 500 mg paracetamolu i 15 mg fosforanu kodeiny.
Antithrombin III Immuno 500; 1000 | 1278612	1 fiolka zawiera 500 j.m. lub 1000 j.m. antytrombiny III.
Anzorin | 10825632	1 tabl. uleg. rozp. w j. ustnej zawiera 5mg, 10 mg, 15 mg lub 20 mg olanzapiny.
Aparxon PR | 11142557	1 tabl. o przedłużonym uwalanianiu zawiera 2 mg, 4 mg lub 8 mg ropinirolu (w postaci ropinirolu chlorowodorku).
Apiclar; Klabax<sup>®</sup>; Klarmin<sup>®</sup>; Lekoklar<sup>®</sup> mite; -forte; Taclar<sup>®</sup> | 91574; 373966; 3017007; 23125783; 39211274	1 tabl. powl. zawiera 250 mg lub 500 mg klarytromycyny.
Apo-Amlo 5; -10 | 3484085	1 tabl. zawiera amlodypiny bezylan, co odpowiada 5 mg i 10 mg amlodypiny.
Apo-Atorva | 10378843	1 tabl. powl. zawiera 10 mg, 20 mg lub 40 mg atorwastatyny wapniowej (solwat z glikolem propylenowym), co odpowiada 10 mg, 20 mg lub 40 mg atorwastatyny.
Apo-Doperil; Cognezil; Donecleus; Donepenorm; Symepezil | 7175050; 9924015; 9951962; 10417415; 10859604	1 tabl. powl. zawiera 5 mg lub 10 mg chlorowodorku donepezylu, co odpowiada 4,56 mg lub 9,12 mg wolnego donepezylu.
Apo-Doxan 1; -2; -4; Doxanorm<sup>®</sup> | 1017; 87361	1 tabl. zawiera 1 mg, 2 mg lub 4 mg doksazosyny w postaci mezylanu doksazosyny.
Apo-Napro; Apo-Napro - (IR); Pabi-Naproxen | 83045; 7232375; 25845367	1 tabl. zawiera 250 mg lub 500 mg naproksenu.
Apo-Perindox | 7232367	1 tabl. zawiera 4 mg lub 8 mg peryndoprylu z tert-butyloaminą (co odpowiada 3,338 mg lub 6,676 mg peryndoprylu).
Apo-Rami; Axtil<sup>®</sup>; Ivipril; Ramicor<sup>®</sup>; Ramiprilum 123ratio; Ramistad 2,5; -5; -10; Tritace<sup>®</sup> 2,5; -5; -10; Vivace | 193456; 3120688; 3124698; 6892977; 6941630; 22754790; 23114615; 25474980	1 tabl. zawiera 2,5 mg, 5 mg lub 10 mg ramiprylu.
Apo-Risperid; Rispolept<sup>®</sup> | 2748; 7231464	1 tabl. powl. zawiera 1 mg, 2 mg, 3 mg lub 4 mg rysperydonu. 1 ml roztw. doustnego zawiera 1 mg rysperydonu.
Apo-Simva 10; -20; -40; Corr 10; -20; -40; Simvagamma 10; -20; -40; Simvastatin Bluefish; Simvastatin FP; Simvastatinum Accord; Simvasterol<sup>®</sup>; Vasilip<sup>®</sup>; Ximve | 2893; 3325; 3007145; 3484678; 10740346; 10740384; 11079445; 11079476; 11149953	1 tabl. powl. zawiera 10 mg, 20 mg lub 40 mg symwastatyny.
Apo-Valsart; Avasart; Awalone; Axudan; Axudan - (IR); Bespres; Diovan<sup>®</sup>; Ivisart; Nortivan; Nortivan Neo; Tensart; Valorion; Valtap; Vanatex<sup>®</sup> | 957; 8852803; 9924286; 9951290; 10662181; 10825168; 10970003; 11056645; 11389868; 27400474; 30155171; 33372412; 35258544; 35260482	1 tabl. powl. zawiera 80 mg lub 160 mg walsartanu.
ApoBetina; Betahistinum 123ratio; Lavistina; Polvertic<sup>®</sup>; Verhist; Vertix | 3897863; 5096828; 6217356; 7043274; 22128608; 38022340	1 tabl. zawiera 8 mg, 16 mg lub 24 mg betahistyny dichlorowodorku.
ApoEscitaxin ORO; Depralin ODT | 24118099; 26282436	1 tabl. zawiera 5 mg, 10 mg lub 20 mg escytalopramu co odpowiada 6,3875 mg, 12,775 mg lub 25,55 mg escytalopramu szczawianu.
ApoMigra | 36987978	1 tabl. powl. zawiera 50 mg lub 100 mg sumatryptanu.
ApoPatram; Delparan; Padolten; Paratram; Parcotram; Strenduo; Tramapar; Traparac; Zaldiar<sup>®</sup>; Zaldiar<sup>®</sup> - (IR) | 3005401; 10962729; 11120170; 15020453; 17215940; 19658962; 22487483; 22488366; 23005787; 37705846	1 tabl. powl. zawiera 37,5 mg tramadolu chlorowodorku i 325 mg paracetamolu.
ApoRopin; Ceurolex SR | 20453185; 22207825	1 tabl. o przedł. uwalnianiu zawiera 2 mg, 4 mg lub 8 mg ropinirolu.
ApoSerta | 24494172	1 tabl. powl. zawiera 50 mg lub 100 mg sertraliny.
ApoSuprid | 17581047	1 tabl. powl. zawiera 200 mg lub 400 mg amisulprydu.
ApoTiapina; Ketrel | 2561385; 11597230	1 tabl. powl. zawiera 25 mg, 100 mg lub 200 mg kwetiapiny.
ApoValsart HCT; Co-Bespres - (IR) | 19659437; 32328663	1 tabl. powl. zawiera 160 mg walsartanu i 25 mg hydrochlorotiazydu.
Apra-swift | 27400860	1 tabl. ulegająca rozpadowi w jamie ustnej zawiera 10 mg lub 15 mg arypiprazolu.
Apra; Aripiprazole Accord; Aripiprazole Sandoz | 27402950; 27666477; 32940591	1 tabl. zawiera 10 mg lub 15 mg arypiprazolu.
AprilGen 5 mg; -10 mg; -20 mg; -40 mg | 1432434	1 tabl. powl. zawiera 5 mg, 10 mg, 20 mg lub 40 mg chinaprylu (w postaci chinaprylu chlorowodorku).
Arablocktans | 12200647	1 tabl. powl. zawiera 150 mg lub 300 mg irbesartanu oraz 12,5 mg lub 25 mg hydrochlorotiazydu.
Arava<sup>®</sup> 10 mg; -20 mg; -100 mg | 3981	1 tabl. zawiera 10 mg, 20 mg lub 100 mg leflunomidu.
Aredia<sup>®</sup> | 264	1 fiolka zawiera 60 mg lub 90 mg jałowego liofilizowanego disodu pamidronianu.
Aribit | 27401188	1 tabl. zawiera: 5 mg, 10 mg, 15 mg lub 30 mg arypiprazolu.
Aricept<sup>®</sup> | 270	1 tabl. powl. zawiera 5 mg lub 10 mg chlorowodorku donepezilu, co odpowiada 4,56 mg lub 9,12 mg donepezylu.
Aricept<sup>®</sup> - (IR) | 37251389	1 tabl. powl. zawiera 5 mg lub 10 mg chlorowodorku donepezilu.
Aripiprazole Neuropharma | 35119806	1 tabl. zawiera 10 lub 15 mg arypiprazolu.
Aripsan | 30225482	1 tabl. zawiera 5,10 lub 15 mg arypiprazolu.
Arixtra<sup>®</sup> | 2921155	1 amp.-strzyk. zawiera 2,5 mg lub 7,5 mg soli sodowej fondaparynuksu.
Arkolamyl; Olanzapine Bluefish; Olanzapine Lekam; Olazax Disperzi | 10953417; 11122467; 13233764; 19690796	1 tabl. uleg. rozp. w j. ustnej zawiera 5 mg, 10 mg, 15 mg lub 20 mg olanzapiny.
Arlevert; Symtiver | 11142645; 37562854	1 tabl. zawiera 20 mg cynaryzyny i 40 mg dimenhydraminy.
Aropilo; -SR | 9791200	1 tabl. powl. zawiera 0,25 mg, 0,5 mg, 1 mg, 2 mg lub 5 mg ropinirolu w postaci ropinirolu chlorowodorku. 1 tab. o przedł. uwalnianiu zawiera 2 mg, 4 mg lub 8 mg ropinirolu (w postaci ropinirolu chlorowodorku).
Arthrotec<sup>®</sup> - (IR); Arthrotec<sup>®</sup>; -forte | 284; 37534511	1 tabl. zawiera 50 mg soli sodowej diklofenaku i 200 µg mizoprostolu. 1 tabl. forte zawiera 75 mg soli sodowej diklofenaku i 200 µg mizoprostolu.
Arthryl<sup>®</sup> | 19660099	1 amp. A zawiera 400 mg siarczanu glukozaminy w postaci glukozaminy siarczanu z sodu chlorkiem 502,5 mg oraz 10 mg chlorowodorku lidokainy.
Artilla; Artilla - (IR); Artilla - (IR) | 10358943; 37273138; 37535295	1 tabl. powl. zawiera 0,075 mg gestodenu i 0,02 mg etinylestradiolu.
Arypiprazol Glenmark; Preheftari | 27334063; 32275274	1 tabl. zawiera 5 mg, 10 mg, 15 mg lub 30 mg arypiprazolu.
Aryzalera | 25832700	1 tabl. zawiera 10, 15 lub 30 mg arypiprazolu.
Asamax 250; -500 | 2192232	1 czopek zawiera 250 mg lub 500 mg mesalazyny.
Asamax 250; -500 | 501313	1 tabl. dojelitowa  zawiera 250 mg lub 500 mg mesalazyny.
Asaris 100/50 | 37909782	1 dawka inhalacyjna zawiera 100 µg flutykazonu propionianu (mikronizowanego) i 50 µg salmeterolu (w postaci salmeterolu ksynafonianu, mikronizowanego).
Asaris 250/50 | 37909816	1 dawka inhalacyjna zawiera 250 µg flutykazonu propionianu (mikronizowanego) i 50 µg salmeterolu (w postaci salmeterolu ksynafonianu, mikronizowanego).
Asaris 500/50 | 18276988	1 dawka inhalacyjna zawiera 500 µg flutykazonu propionianu (mikronizowanego) i 50 µg salmeterolu (w postaci salmeterolu ksynafonianu, mikronizowanego).
Asentra<sup>®</sup>; Asertin<sup>®</sup> 50; -100 | 91429; 3119322	1 tabl. zawiera 50 mg lub 100 mg sertraliny.
Asmenol PPH | 38499986	1 tabl. do rozgr. i żucia zawiera 4 mg montelukastu w postaci 4,16 g montelukastu sodowego.
