ARCOXIA<sup>®</sup> | 35852769	1 tabl. powl. zawiera 30 mg, 60 mg lub 90 mg etorykoksybu
Aminomix<sup>®</sup> 1 Novum | 8507154	1000 ml roztw. do inf. zawiera: 2,50 g izoleucyny, 3,70 g leucyny, 4,125 g lizyny chlorowodorku, co odpowiada 3,30 g lizyny, 2,15 g metioniny, 2,55 g fenyloalaniny, 2,20 g treoniny, 1,00 g tryptofanu, 3,10 g waliny, 6,00 g argininy, 1,50 g histydyny, 5,50 g glicyny, 3,25 g seryny, 0,20 g tyrozyny, 0,50 g tauryny, 7,00 g alaniny, 5,60 g proliny, 4,59 g sodu glicerofosforanu uwodnionego, 4,50 g kwasu octowego lodowatego, 1,981 g potasu wodorotlenku, 1,47 ml kwasu solnego 25%, 220,00 g glukozy jednowodnej, co odpowiada 200,00 g glukozy bezwodnej, 1,169 g chlorku sodu, 0,294 g wapnia chlorku dwuwodnego, 0,61 g magnezu chlorku sześciowodnego, 0,00545 g cynku chlorku oraz elektrolity: Na<sup>+</sup> 50 mmol/l, K<sup>+</sup> 30 mmol/l, Ca<sup>++</sup> 2 mmol/l, Mg<sup>++</sup> 3 mmol/l, Zn<sup>++ </sup>0,04 mmol/l, Cl<sup>-</sup> 64 mmol/l, octan<sup>-</sup> 75 mmol/l, glicerofosforan<sup>-</sup> 15 mmol/l, aminokwasy ogółem - 50 g, zawartość azotu ogółem - 8 g, wartość energetyczna pozabiałkowa - 800 kcal, wartość energetyczna całkowita - 1000 kcal, osmolalność - 1826-2018 mOsm/kg wody, osmolarność - 1779 mOsm/l, zdolność zobojętniania (po zmieszaniu) - 18,0-33,0 mmol NaOH/l, pH (po zmieszaniu) - 5,5-6,0.
Aminoplasmal<sup>®</sup> B.Braun 15% E | 24783755	1000 ml roztworu zawiera: 5,85 g izoleucyny, 11,4 g leucyny, 7,95 g lizyny, 5,7 g metioniny, 5,7 g fenyloalaniny, 5,4 g treoniny, 2,1 g tryptofanu, 7,2 g waliny, 16,05 g argininy, 5,25 g histydyny, 19,2 g glicyny, 22,35 g alaniny, 7,35 g proliny, 7,95 g kwasu asparaginowego, 0,5 g acetylocysteiny (co odpowiada 0,37 g cysteiny), 16,2 g kwasu glutaminowego, 3 g seryny, 0,5 g tyrozyny, 0,05 g wersenianu disodowego x 2 H<sub>2</sub>O, 0,2 g wodorotlenku sodowego. <u>Preparat Aminoplasmal 15% E</u> zawiera dodatkowo: 2,95 g octanu potasowego, 0,56 g octanu magnezowego x 4 H<sub>2</sub>O, 1,4 g diwodorofosforanu sodowego x 2 H2O. Aminoplasmal 15% zawiera lizynę w postaci uwodnionej (8,93 g), Aminoplasmal 15% E zawiera lizynę w postaci uwodnionej (3 g) i w postaci chlorowodorku (6,6 g). Stężenia elektrolitów: sód - 50 mmol/l, potas - 30 mmol/l, magnez - 2,6 mmol/l, octany - 35 mmol/l, chlorki - 36 mmol/l, diwodorofosforany - 9 mmol/l.
Aminoplasmal<sup>®</sup> Hepa 10% | 173	1000 ml roztworu zawiera: 8,8 g izoleucyny, 13,6 g leucyny, 10,6 g octanu lizyny, 1,2 g metioniny, 1,6 g fenyloalaniny, 4,6 g treoniny, 1,5 g tryptofanu, 10,6 g waliny, 8,8 g argininy, 4,7 g histydyny, 6,3 g glicyny, 8,3 g alaniny, 7,1 g proliny, 2,5 g kwasu asparaginowego, 0,55 g asparaginy H<sub>2</sub>O, 0,8 g acetylocysteiny, 5,7 g kwasu glutaminowego, 1,66 g chlorowodorku ornityny, 3,7 g seryny, 0,86 g acetylotyrozyny oraz 51 mmol/l octanu i 10 mmol/l chlorków.
Amoksiklav<sup>®</sup> - (IR) | 29289423	1 tabl. zawiera 250 mg, 500 mg lub 875 mg mg amoksycyliny w postaci amoksycyliny trójwodnej oraz 125 mg kwasu klawulanowego w postaci klawulanianu potasu.
Amphocil<sup>®</sup> | 190	1 fiolka zawiera 50 mg (50 000 j.m.) lub 100 mg (100 000 j.m.) amfoterycyny B w postaci liofilizatu do przygotowania koloidowego roztworu do wlewu kroplowego.
Anbinex | 11142508	1 fiolka zawiera 500 j.m. lub 1000 j.m. antytrombiny pochodzącej z ludzkiego osocza. Po odtworzeniu w 10 ml (500 j.m.) lub 20 ml (1000 j.m.) wody do wstrzykiwań preparat zawiera około 50 j.m./ml antytrombiny ludzkiej. Aktywność swoista leku wynosi co najmniej 5 j.m./mg białka.
Anoro; Laventair | 24018564; 24036116	Każda pojedyncza inhalacja zapewnia dostarczanie dawki (dawka opuszczająca ustnik) zawierającej 65 µg umeklidyniowego bromku (co odpowiada 55 µg umeklidynium) oraz 22 µg wilanterolu (w postaci trifenylooctanu). Odpowiada to dawce podzielonej zawierającej 74,2 µg umeklidyniowego bromku (co odpowiada 62,5 µg umeklidynium) oraz 25 µg wilanterolu (w postaci trifenylooctanu).
Antytoksyna botulinowa ABE | 8441986	Antytoksyna typu A, B oraz E jadu bakterii <i>Clostridium botulinum</i>.
Aqua pro injectione POLPHARMA | 184067	1 amp. zawiera 5 ml lub 10 ml wody do wstrzykiwań.
Artiss | 9951260	1 dwukomorowa napełniona strzykawka, która zawiera 1 ml, 2 ml lub 5 ml roztworu białek klejących (z fibrynogenem ludzkim 45,5 mg/ml i aprotyniną 1500 KIU/ml), głęboko mrożonego, w jednej komorze i 1 ml, 2 ml, 5 ml roztworu trombiny 2 j.m./ml (z wapnia chlorkiem 20 µmol/ml ), głęboko mrożonego, w drugiej komorze dostarcza 2 ml, 4 ml, 10 ml końcowego produktu gotowego do użycia.
Asparaginase medac | 2979365	1 fiol. zawiera 83 µkat asparaginazy, co odpowiada 5000 j.m. lub 1 fiol. zawiera 167 µkat asparaginazy, co odpowiada 10000 j.m.
Atenativ | 11142746	Proszek i rozpuszczalnik do sporządzania roztworów do infuzji zawierający liofilizowaną antytrombinę uzyskiwaną z osocza ludzkiego w ilości 500 lub 1000 jednostek na fiolkę. Po rekonstytucji w 10 ml (500 j.m.), 20 ml (1000 j.m.) wody do wstrzykiwań produkt zawiera 50 j.m./ml antytrombiny ludzkiej pochodzącej z osocza. Moc produktu leczniczego (j.m.) określono metodą chromogenną zgodnie z Farmakopeą Europejską. Aktywność swoista Atenativ wynosi około 2,8 j.m./mg białka.
Atripla | 13051309	1 tabl. powl. zawiera 600 mg efawirenzu, 200 mg emtrycytabiny i 245 mg dizoproksylu tenofowiru (w postaci fumaranu dizoproksylu tenofowiru).
Augmentin<sup>®</sup> SR | 4413929	1 tabl. o przedłużonym uwalnianiu zawiera amoksycylinę trójwodną i amoksycylinę sodową w ilości odpowiadającej 1000 mg amoksycyliny i klawulanian potasu w ilości odpowiadającej 62,5 mg kwasu klawulanowego.
BCG Szczepionka SSI | 3292416	Po odtworzeniu, 1 dawka (0,1 ml) dla dorosłych i dzieci w wieku 12 m-cy i starszych zawiera: <i>Mycobacterium bovis</i> BCG (<i>Bacillus Calmette-Guerin</i>), szczep duński 1331, żywy atenuowany, 2-8 x 10<sup>5</sup> CFU. Po odtworzeniu, 1 dawka (0,05 ml) dla niemowląt poniżej 12 m-ca życia zawiera: <i>Mycobacterium bovis</i> BCG (<i>Bacillus Calmette-Guerin</i>), szczep duński 1331, żywy atenuowany, 1-4 x 10<sup>5</sup> CFU.
BCG medac | 2997020	1 fiolka zawiera nie mniej niż 2x10<sup>8</sup> i nie więcej niż 3x10<sup>9</sup> żywych cząstek BCG (<i>Bacillus Calmette-Guerin</i>).
Bactrim<sup>®</sup>; -forte - (IR) | 37282700	1 tabl. forte zawiera 960 mg ko-trimoksazolu (160 mg trimetoprimu i 800 mg sulfometoksazolu). 5 ml syropu zawiera 240 mg ko-trimoksazol (40 mg trimetoprimu i 200 mg sulfometoksazolu).
Bactrim<sup>®</sup>; -forte; Bactrim<sup>®</sup>; -forte - (IR) | 346; 37561379	1 tabl. zawiera 480 mg ko-trimoksazolu (80 mg trimetoprimu i 400 mg sulfometoksazolu). 1 tabl. forte zawiera 960 mg ko-trimoksazolu (160 mg trimetoprimu i 800 mg sulfometoksazolu). 5 ml syropu zawiera 240 mg ko-trimoksazolu (40 mg trimetoprimu i 200 mg sulfometoksazolu).
BeneFIX | 12979754	1 fiolka zawiera nominalnie 250 j.m., 500 j.m., 1000 j.m. lub 2000 j.m. nonakogu alfa (rekombinowany czynnik krzepnięcia IX).
Benepali | 30235795	1 amp.-strzyk. lub wstrzyk. produktu zawiera 50 mg etanerceptu w całkowitej objętości 1 ml.
Beriate 250; -500; -1000 | 24676543	1 fiol. 250, 500 lub 1000 j.m. ludzkiego VIII czynnika krzepnięcia (FVIII).
Berinert | 11142979	W 1 fiol. znajduje się 500 j.m. lub 1500 j.m. inhibitora C1-esterazy. Po rekonstytucji w 10 ml lub 3 ml wody do wstrzykiwań produkt zawiera 50 j.m./ml lub 500 j.m./ml inhibitora C1-esterazy. Zawartość białka całkowitego po rekonstytucji wynosi 6,5 mg/ml lub 65 mg/ml.
Berinin P | 13281192	Lek występuje w postaci proszku i rozpuszczalnika do sporządzania roztworu do wstrzykiwań lub infuzji i zawiera odpowiednio 300 j.m., 600 j.m; 1200 j.m. ludzkiego IX czynnika krzepnięcia krwi na fiolkę. Produkt jest rekonstytuowany odpowiednio z 2,5 ml, 5 ml oraz 10 ml wody do wstrzykiwań, powstały w ten sposób roztwór zawiera około 120 j.m/ml ( 300 j.m/ 2,5 ml; 600 j.m/ 5 ml; 1200 j.m/ 10 ml) ludzkiego IX czynnika krzepnięcia krwi.
Berodual<sup>®</sup> | 393	1 ml (20 kropli) roztw. do nebulizacji zawiera: 0,5 mg fenoterolu bromowodorku i 0,25 mg ipratropiowego bromku jednowodnego.
Berodual<sup>®</sup> N | 19678291	1 dawka inhalacyjna zawiera 50 µg fenoterolu bromowodorku i 21 µg ipratropiowego bromku jednowodnego, co odpowiada 20 µg ipratropiowego bromku bezwodnego.
Betnovate<sup>®</sup> | 11143009	1 g kremu lub maści zawiera 1,22 mg betametazonu walerianianu zmikronizowanego.
Betoptic 0,5% - (IR); Betoptic<sup>®</sup> 0,5% - (IR); Betoptic<sup>®</sup> S; -0,5% | 414; 37344739; 37706590	1 ml zawiesiny zawiera 2,5 mg betaksololu jako wolnej zasady (2,8 mg chlorowodorku betaksololu). 1 ml roztworu zawiera 5 mg betaksololu jako wolnej zasady (5,6 mg chlorowodorku betaksololu). <u>Substancje pomocnicze</u>: chlorek benzalkoniowy, chlorek sodu, wersenian dwusodowy, stężony kwas solny i/lub wodorotlenek sodu do ustalenia odpowiedniego pH, woda oczyszczona.
BiResp Spiromax; DuoResp Spiromax | 24020105; 24027121	Każda dostarczona dawka (dawka opuszczająca ustnik) zawiera 160 µg budezonidu lub 320 µg oraz 4,5 µg lub 9 µg formoterolu fumaranu dwuwodnego.
Bioracef<sup>®</sup> | 438	1 tabl. powl. zawiera 125 mg, 250 mg, lub 500 mg cefuroksymu (w postaci cefuroksymu aksetylu).
Biseptol<sup>®</sup> 480 | 456	1 ml koncentratu zawiera 80 mg sulfametoksazolu i 16 mg trimetoprimu, czyli 96 mg ko-trimoksazolu. 1 amp. 5 ml koncentratu zawiera 400 mg sulfametoksazolu i 80 mg trimetoprimu, czyli 480 mg ko-trimoksazolu.
Boostrix; Boostrix Polio | 7713288; 7713307	1 dawka (0,5 ml) zawiera nie mniej niż 2 j.m. toksoidu błoniczego i nie mniej niż 20 j.m. toksoidu tężcowego oraz antygeny <i>Bordetella pertussis</i>: 8 µg toksoidu krztuścowego, 8 µg hemaglutyniny włókienkowej i 2,5 µg pertaktyny.
Broncho-Vaxom<sup>®</sup> dla dzieci | 22197103	1 dawka zawiera 3,5 mg lizatu bakteryjnego z następujących szczepów: <i>Haemophilus influenzae, Diplococcus pneumoniae, Klebsiella pneumoniae</i> i <i>ozaenae, Staphylococcus aureus, Streptococcus pyogenes</i> i <i>viridans, Neisseria catarrhalis.</i>
Broncho-Vaxom<sup>®</sup>; Broncho-Vaxom<sup>®</sup> - (IR) | 493; 37365340	1 kaps. zawiera 7 mg lub 3,5 mg (forma dla dzieci) lizatu bakteryjnego z następujących szczepów: <i>Haemophilus influenzae, Diplococcus pneumoniae, Klebsiella pneumoniae</i> i <i>ozaenae, Staphylococcus aureus, Streptococcus pyogenes</i> i <i>viridans, Neisseria catarrhalis.</i>
Bufomix Easyhaler | 27785576	1 dawka dostarczana (dawka opuszczająca ustnik inhalatora) zawiera 160 lub 320 µg/dawkę inhalacyjną budezonidu i 4,5 lub 9 µg/dawkę inhalacyjną formoterolu fumaranu dwuwodnego.
COMETRIQ<sup>®</sup> | 24022190	1 kaps. twarda zawiera (S)-jabłczan kabozantynibu w ilości odpowiadającej 20 mg lub 80 mg kabozantynibu.
Cabometyx | 33156742	1 tabl. powl. zawiera (S)-jabłczan kabozantynibu w ilości odpowiadającej 20 mg, 40 mg i 60 mg kabozantynibu.
Calperos Osteo | 21419680	1 tabl. zawiera 1000 mg wapnia w postaci 2500 mg wapnia węglanu oraz 880 IU (22 &mu;g) cholekalcyferolu (witaminy D<sub>3</sub>) w postaci 8,8 mg koncentratu cholekalcyferolu (proszku).
Cefepime Kabi; Maxipime | 11146986; 11610613	1 fiol. zawiera 1 g cefepimu w postaci cefepimu dichlorowodorku jednowodnego (1189,2 mg) lub 2 g cefepimu w postaci cefepimu dichlorowodorku jednowodnego (2378,5 mg).
Ceftriaxon-MIP i.v. 2 g; -i.v./i.m. 1 g | 1794439	1 fiol. zawiera 1 g lub 2 g ceftriaksonu w postaci ceftriaksonu sodowego 1,193 g lub 2,386 g.
Cervarix<sup>®</sup> | 4320644	1 dawka (0,5 ml) zawiera po 20 µg białka L1 wirusa brodawczaka ludzkiego typu 16 i typu 18.
Cinryze | 11638242	1 fiol. z proszkiem przeznaczona do jednorazowego użycia zawiera 500 j. inhibitora C1 (ludzkiego)<sup>1</sup>. Po rekonstytucji 1 fiol. zawiera 500 j. inhibitora C1 (ludzkiego) w 5 ml, co odpowiada stężeniu 100 j./ml. 1 jednostka odpowiada średniej ilości inhibitora C1, jaka znajduje się w 1 ml normalnego osocza ludzkiego. Całkowita zawartość białka w roztw. po rekonstytucji wynosi 15 ± 5 mg/ml.
Cirrus | 32957217	1 tabl. zawiera 5 mg cetyryzyny dichlorowodorku o natychmiastowym uwalnianiu oraz 120 mg pseudoefedryny chlorowodorku o przedł. uwalnianiu.
Cirrus Duo | 3890681	1 tabl. zawiera 5 mg cetyryzyny dichlorowodorku w warstwie o niemodyfikowanym uwalnianiu oraz 120 mg pseudoefedryny chlorowodorku w warstwie o przedłużonym uwalnianiu.
Citalopram Bluefish | 10360626	1 tabl. powl. zawiera  24,99 mg lub 49,98 cytalopramu bromowodorku równoważne 20 mg lub 40 mg cytalopramu.
CitraFleet | 26287270	1 saszetka (15,08 g) zawiera 0,01 g sodu pikosiarczanu, 3,50 g magnezu tlenku, lekki i 10,97 g kwasu cytrynowego bezwodnego.
Climara<sup>®</sup> 50 | 698	Każdy system transdermalny o powierzchni 12,5 cm<sup>2</sup> zawiera 3,8 mg estradiolu co odpowiada 3,9 mg estradiolu półwodnego oraz uwalnia 50 µgramów estradiolu w ciągu 24 h.
Climen | 699	Opakowanie składa się z 11 tabl. białych zawierających po 2 mg walerianianu estradiolu i 10 tabl. różowych zawierających po 2 mg walerianianu estradiolu i 1 mg octanu cyproteronu.
ClinOleic 20% | 11143775	100 ml emulsji do infuzji zawiera olej z oliwek oczyszczony + olej sojowy oczyszczony 20,00 g (zawartość niezbędnych kwasów tłuszczowych 4,00 g). Fosfolipidy dostarczają 47 mg (1,5 mmol) fosforu na 100 ml. Wartość energetyczna 2000 kcal/l (8,36 MJ/l), osmolarność 270 mOsm/l, pH 6-8. Mieszanina oczyszczonego oleju z oliwek (ok. 80%) i oczyszczonego oleju sojowego (ok. 20%). Proporcje oczyszczonego oleju z oliwek i oczyszczonego oleju sojowego mogą się nieco różnić, tak, by zawartość niezbędnych kwasów tłuszczowych w mieszaninie wynosiła ok. 20%.
Clinimix N12G20E; Clinimix N14G30E; Clinimix N17G35E; Clinimix N9G15E; Clinimix N9G20E | 11143755; 11143759; 11143763; 11143767; 11143771	Preparat jest pakowany w dwukomorowych workach; jedna komora zawiera roztwór aminokwasów z elektrolitami; druga - roztwór glukozy z wapniem. Komory rozdzielone są za pomocą rozrywalnego spawu. Zawartość obu komór należy zmieszać, tuż przed podaniem choremu, przez ściśnięcie lub zrolowanie pojemnika w celu przerwania spawu. Nadający się do wstrzyknięcia roztwór aminokwasów zawiera 15 L-aminokwasów (8 aminokwasów niezbędnych) potrzebnych do syntezy białka.
Co-Bespres | 11084906	1 tabl. powl. zawiera: 80 mg walsartanu i 12,5 mg hydrochlorotiazydu; 160 mg walsartanu i 12,5 mg hydrochlorotiazydu lub 160 mg walsartanu i 25 mg hydrochlorotiazydu.
Co-Prenessa<sup>®</sup> | 5144917	1 tabl. zawiera 2 mg, 4 mg lub 8 mg soli tert-butylaminowej peryndoprylu oraz 0,625 mg, 1,25 mg lub 2,5 mg indapamidu.
Co-Prestarium<sup>®</sup> | 7108021	1 tabl. zawiera 5 mg lub 10 mg peryndoprylu z argininą, co odpowiada 3,395 mg lub 6,790 mg peryndoprylu oraz 5 mg lub 10 mg amlodypiny w postaci amlodypiny bezylanu.
Co-Prestarium<sup>®</sup> Initio | 29280370	1 tabl. zawiera 2,378 mg lub 4,756 mg peryndoprylu, co odpowiada 3,5 mg lub 7 mg peryndoprylu z argininą oraz 3,4675 mg lub 6,935 mg amlodypiny bezylanu, co odpowiada 2,5 mg lub 5 mg amlodypiny.
Coagadex | 31934626	1 fiol. zawiera nominalnie 250 j.m. lub 500 j.m. ludzkiego X czynnika krzepnięcia krwi. Produkt leczniczy zawiera około 100 j.m./ml ludzkiego X czynnika krzepnięcia krwi po rekonstytucji w 2,5 ml (250 j.m.) lub 5 ml (500 j.m.) jałowej wody do wstrzykiwań. Produkt leczniczy wytworzony z osocza ludzkich dawców.
Comboterol | 35269280	1 dawka odmierzona dostarcza 25 µg salmeterolu (w postaci salmeterolu ksynafonianu) i 125 µg lub 250 µg  flutykazonu propionianu (dostarczane przez zawór), co odpowiada 21 µg salmeterolu i 110 µg  lub 220 µg flutykazonu propionianu dostarczanym przez dozownik (dawka dostarczana).
Contix | 4480046	1 tabl. dojelitowa zawiera 20 mg lub 40 mg pantoprazolu w postaci 22,6 mg lub 45,2 mg półtorawodzianu pantoprazolu sodu.
Corator | 6265206	1 tabl. powl. zawiera 10 mg lub 20 mg, lub 40 mg atorwastatyny, w postaci soli wapniowej atorwastatyny.
Cuprymina | 24023268	1 ml roztworu zawiera 925 MBq chlorku miedzi (<sup>64</sup>Cu) w czasie kalibracji (01:00 czasu środkowoeuropejskiego CET), co odpowiada, co najmniej 0,25 µg <sup>64</sup>Cu. Czas kalibracji mieści się pomiędzy czasem zakończenia syntezy i terminem ważności.
Curosurf<sup>®</sup> | 801	1 ml zawiesiny zawiera 80 mg surfaktantu (frakcja fosfolipidów z płuca świni) 80 mg. Jedna fiolka zawiera 1,5 ml zawiesiny, w której znajduje się 120 mg substancji czynnej lub 3 ml zawiesiny, w której znajduje się 240 mg substancji czynnej. Płucny surfaktant (czynnik powierzchniowo czynny) jest mieszaniną substancji, głównie fosfolipidów i swoistych protein, pokrywających wewnętrzną powierzchnię pęcherzyków płucnych.
Defitelio | 24025067	1 ml zawiera 80 mg defibrotydu, co odpowiada 200 mg w fiolce 2,5 ml i stężeniu roztworu po rozcieńczeniu mieszczącym się w zakresie od 4 mg/ml do 20 mg/ml.
Dekristol | 37042233	1 kaps. miękka zawiera 20 mg roztworu olejowego cholekalcyferolu, co odpowiada 500 µg cholekalcyferolu lub 20 000 IU wit. D<sub>3</sub>.
Depakine Chrono 500 - (IR); Depakine Chrono 500 - (IR) | 27767748; 29288941	1 tabl. zawiera 333 mg walproinianu sodu i 145 mg kwasu walproinowego, co odpowiada łącznie 500 mg walproinianu sodu.
Detimedac | 18643645	1 fiolka produktu zawiera 100 mg, 200 mg, 500 mg lub 1000 mg dakarbazyny w postaci cytrynianu dakarbazyny powstałego <i>in situ</i>.
Dexilant | 26402968	1 kaps. zawiera 30 mg lub 60 mtg dekslanzoprazolu.
DicloDuo | 928	1 kaps. zawiera 75 mg diklofenaku sodowego w tym 25 mg w peletkach dojelitowych i 50 mg w peletkach o przedłużonym uwalnianiu.
DicloDuo Combi | 28192903	1 kaps. twarda o zmodyfikowanym uwalnianiu zawiera 75 mg soli sodowej diklofenaku (25 mg w postaci peletek dojelitowych i 50 mg w postaci peletek o przedłużonym uwalnianiu) oraz 20 mg omeprazolu (w postaci peletek dojelitowych).
Dicortineff | 199376	1 ml zawiesiny do oczu i uszu zawiera 2 500 j.m. neomycyny w postaci neomycyny siarczanu, 25 j.m gramicydyny i 1 mg fludrokortyzonu octanu.
Diprophos<sup>®</sup> | 968	1 ml zawiesiny do wstrzykiwań zawiera 6,43 mg betametazonu dipropionianu co odpowiada 5 mg betametazonu, oraz 2,63 mg betametazonu sodu fosforanu co odpowiada 2 mg betametazonu.
Donectil; -ODT | 7717923	1 tabl. powl. zawiera 5 mg lub 10 mg donepezylu chlorowodorku, co odpowiada 4,56 mg lub 9,12 mg donepezylu w postaci wolnej zasady. 1 tabl. ulegająca rozpadowi w jamie ustnej zawiera 5 mg  lub 10 mg donepezylu chlorowodorku.
Donepezil Bluefish | 10972239	1 tabl. powl. zawiera donepezylu chlorowodorek jednowodny, odpowiadający 5 mg lub 10 mg donepezylu chlorowodorku.
Duac | 21360663	1 g żelu zawiera 10 mg klindamycyny w postaci klindamycyny fosforanu oraz 30 mg lub 50 mg benzoilu nadtlenku w postaci benzoilu nadtlenku z wodą.
Dultavax | 7142231	1 dawka (0,5 ml) zawiera: toksoid błoniczy (adsorbowany na wodorotlenku glinu, uwodnionym 0,35 mg Al<sup>3+</sup>) nie mniej niż 2 j.m.; toksoid tężcowy (adsorbowany na wodorotlenku glinu, uwodnionym 0,35 mg Al<sup>3+</sup>) nie mniej niż 20 j.m.; inaktywowany wirus poliomyelitis typ 1 (szczep Mahoney) 40 jednostek antygenu D (lub ekwiwalent tej ilości antygenu określony odpowiednią metodą immunochemiczną); inaktywowany wirus poliomyelitis typ 2 (szczep MEF 1) 8 jednostek antygenu D (lub ekwiwalent tej ilości antygenu określony odpowiednią metodą immunochemiczną); inaktywowany wirus poliomyelitis typ 3 (szczep Saukett) 32 jednostki antygenu D (lub ekwiwalent tej ilości antygenu określony odpowiednią metodą immunochemiczną).
Efectin<sup>®</sup> -ER 37,5; -75; -150 | 1058	1 kaps. o przedłużonym uwalnianiu zawiera 42,43 mg, 84,85 mg lub 169,7 mg wenlafaksyny chlorowodorku, co odpowiada 37,5 mg, 75 mg lub 150 mg wenlafaksyny, w postaci wolnej zasady.
Effox<sup>®</sup> 10; -20; long 50; -75 | 1067	1 tabl. o przedł. uwalnianiu zawiera jako substancję czynną 10 mg, 20 mg, 50 mg lub 75 mg monoazotanu izosorbidu.
Elocta | 31907012	1 fiol. zawiera nominalnie 250 IU, 500 IU, 1000 IU, 1500 IU, 2000 IU lub 3000 IU efmoroktokogu &alpha; (efmoroctocogum &alpha;). Po rekonstytucji, 1 ml roztw. do wstrzyk. zawiera około 83 IU, 167 IU, 333 IU, 500 IU, 667 IU lub 1000 IU efmoroktokogu &alpha;.
Elonva<sup>®</sup> | 23253840	1 ampułko-strzykawka zawiera 100 µg lub 150 µg koryfolitropiny alfa w 0,5 ml roztworze do wstrzykiwań.
Eltroxin<sup>®</sup> | 1076	1 tabl. zawiera 50 µg  lub 100 µg lewotyroksyny sodowej w przeliczeniu na substancję bezwodną.
